region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2022,1,7.5156,7.8604,7.1567,0.091
养马岛附近,2022,2,7.5112,7.8798,7.1792,0.0917
养马岛附近,2022,3,7.5073,7.8638,7.1695,0.092
养马岛附近,2022,4,7.5067,7.8318,7.1355,0.0913
养马岛附近,2022,5,7.5063,7.8589,7.1454,0.0916
养马岛附近,2022,6,7.5101,7.8854,7.1534,0.0912
养马岛附近,2022,7,7.5156,7.9049,7.163,0.0914
养马岛附近,2022,8,7.5198,7.873,7.1783,0.091
养马岛附近,2022,9,7.523,7.9091,7.18,0.0927
养马岛附近,2022,10,7.5238,7.8817,7.1373,0.0918
养马岛附近,2022,11,7.5214,7.8939,7.1878,0.0907
养马岛附近,2022,12,7.5203,7.9097,7.1952,0.091
