region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2025,1,3.5351,5.1075,1.6833,0.7123
养马岛附近,2025,2,3.9774,5.7542,2.0068,0.7993
养马岛附近,2025,3,4.3013,6.2254,2.1435,0.8646
养马岛附近,2025,4,4.4206,6.3695,2.2577,0.8896
养马岛附近,2025,5,4.3002,6.1859,2.098,0.865
养马岛附近,2025,6,3.977,5.7571,2.0324,0.7987
养马岛附近,2025,7,3.5357,5.2079,1.7237,0.7117
养马岛附近,2025,8,3.0938,4.5158,1.535,0.6248
养马岛附近,2025,9,2.7706,4.0655,1.3565,0.5609
养马岛附近,2025,10,2.6528,3.9428,1.1615,0.5364
养马岛附近,2025,11,2.7703,4.0518,1.3671,0.5594
养马岛附近,2025,12,3.0938,4.5222,1.5226,0.624
