region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2025,1,7.6458,8.0,7.0269,0.126
养马岛附近,2025,2,7.5753,7.9938,6.9839,0.167
养马岛附近,2025,3,7.5193,7.9849,6.9374,0.1922
养马岛附近,2025,4,7.4986,7.9951,6.8959,0.1991
养马岛附近,2025,5,7.5186,7.9906,6.9208,0.1926
养马岛附近,2025,6,7.5748,8.0,6.9326,0.1678
养马岛附近,2025,7,7.6464,8.0,7.0426,0.128
养马岛附近,2025,8,7.6945,8.0,7.2924,0.1056
养马岛附近,2025,9,7.7216,8.0,7.2941,0.0988
养马岛附近,2025,10,7.7298,8.0,7.3502,0.0957
养马岛附近,2025,11,7.7221,8.0,7.3338,0.0975
养马岛附近,2025,12,7.6948,8.0,7.2597,0.1053
