region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2025,1,7.5656,7.9581,7.2203,0.0922
养马岛附近,2025,2,7.5486,7.9534,7.2366,0.0874
养马岛附近,2025,3,7.5408,7.8815,7.1942,0.0842
养马岛附近,2025,4,7.5378,7.8675,7.2384,0.0849
养马岛附近,2025,5,7.5401,7.9421,7.2467,0.0845
养马岛附近,2025,6,7.5481,7.9291,7.2252,0.0873
养马岛附近,2025,7,7.5662,8.0,7.2173,0.094
养马岛附近,2025,8,7.5902,8.0,7.2424,0.0999
养马岛附近,2025,9,7.6156,8.0,7.2083,0.1064
养马岛附近,2025,10,7.6262,8.0,7.2774,0.1085
养马岛附近,2025,11,7.6162,8.0,7.2644,0.1056
养马岛附近,2025,12,7.5904,8.0,7.2235,0.0995
