region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2025,1,7.827,8.0,6.8841,0.1729
养马岛附近,2025,2,7.7177,8.0,6.9055,0.2834
养马岛附近,2025,3,7.6339,8.0,6.8895,0.327
养马岛附近,2025,4,7.6026,8.0,6.7948,0.3367
养马岛附近,2025,5,7.6358,8.0,6.8317,0.3256
养马岛附近,2025,6,7.7179,8.0,6.8422,0.2849
养马岛附近,2025,7,7.826,8.0,6.9164,0.1726
养马岛附近,2025,8,7.8771,8.0,7.1966,0.0999
养马岛附近,2025,9,7.8914,8.0,7.4317,0.0916
养马岛附近,2025,10,7.8967,8.0,7.5057,0.0891
养马岛附近,2025,11,7.8914,8.0,7.4842,0.0926
养马岛附近,2025,12,7.8773,8.0,7.1463,0.1002
