region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
四十里湾,2022,1,7.5099,7.8614,7.1478,0.0916
四十里湾,2022,2,7.5048,7.8424,7.1168,0.0913
四十里湾,2022,3,7.5007,7.8576,7.1561,0.0916
四十里湾,2022,4,7.5004,7.8511,7.196,0.0912
四十里湾,2022,5,7.5015,7.8408,7.1747,0.0918
四十里湾,2022,6,7.5052,7.8457,7.1721,0.091
四十里湾,2022,7,7.51,7.8242,7.1502,0.0913
四十里湾,2022,8,7.5145,7.8662,7.1756,0.0913
四十里湾,2022,9,7.5176,7.8957,7.1208,0.0915
四十里湾,2022,10,7.5193,7.8692,7.1501,0.0913
四十里湾,2022,11,7.5186,7.9119,7.1585,0.0905
四十里湾,2022,12,7.5142,7.873,7.1593,0.0919
