region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
四十里湾,2025,1,4.0725,5.3191,2.2014,0.625
四十里湾,2025,2,4.5822,5.9157,2.4736,0.7025
四十里湾,2025,3,4.9548,6.4302,2.7286,0.7576
四十里湾,2025,4,5.0908,6.5887,2.7584,0.7791
四十里湾,2025,5,4.9548,6.4263,2.6664,0.7595
四十里湾,2025,6,4.5814,5.9825,2.5352,0.7008
四十里湾,2025,7,4.0734,5.3434,2.1953,0.6261
四十里湾,2025,8,3.5639,4.7465,1.9484,0.5486
四十里湾,2025,9,3.1916,4.2141,1.6579,0.4921
四十里湾,2025,10,3.0534,4.0951,1.5934,0.4729
四十里湾,2025,11,3.1909,4.245,1.5993,0.493
四十里湾,2025,12,3.5632,4.7391,1.8614,0.5494
