region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,2.4071,5.1552,1.656,0.3788
烟台近岸整体,2025,2,2.7075,5.7099,1.9217,0.4237
烟台近岸整体,2025,3,2.9279,6.1996,2.072,0.4566
烟台近岸整体,2025,4,3.0099,6.3585,2.1475,0.469
烟台近岸整体,2025,5,2.9279,6.1742,2.0895,0.456
烟台近岸整体,2025,6,2.7083,5.7256,1.8864,0.4239
烟台近岸整体,2025,7,2.4075,5.0279,1.6567,0.3777
烟台近岸整体,2025,8,2.1074,4.4838,1.3958,0.3331
烟台近岸整体,2025,9,1.8866,4.0365,1.2197,0.3013
烟台近岸整体,2025,10,1.8049,3.9137,1.201,0.289
烟台近岸整体,2025,11,1.8867,4.0753,1.2116,0.3002
烟台近岸整体,2025,12,2.1062,4.4812,1.3635,0.3339
