region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.7482,8.0,7.1433,0.0909
烟台近岸整体,2025,2,7.7286,8.0,7.0751,0.0978
烟台近岸整体,2025,3,7.7121,8.0,6.9529,0.1055
烟台近岸整体,2025,4,7.7029,8.0,7.0071,0.1068
烟台近岸整体,2025,5,7.7116,8.0,6.9941,0.105
烟台近岸整体,2025,6,7.7288,8.0,7.0881,0.0974
烟台近岸整体,2025,7,7.7481,8.0,7.1359,0.0908
烟台近岸整体,2025,8,7.7647,8.0,7.3114,0.0875
烟台近岸整体,2025,9,7.7794,8.0,7.3038,0.0879
烟台近岸整体,2025,10,7.785,8.0,7.2458,0.0878
烟台近岸整体,2025,11,7.7808,8.0,7.3976,0.087
烟台近岸整体,2025,12,7.7653,8.0,7.2964,0.0876
