region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.6475,8.0,7.1931,0.1048
烟台近岸整体,2025,2,7.6149,8.0,7.2475,0.0976
烟台近岸整体,2025,3,7.5961,8.0,7.2162,0.0936
烟台近岸整体,2025,4,7.5891,7.9538,7.2282,0.093
烟台近岸整体,2025,5,7.5956,8.0,7.2652,0.0937
烟台近岸整体,2025,6,7.6148,8.0,7.2347,0.0982
烟台近岸整体,2025,7,7.6471,8.0,7.3057,0.1042
烟台近岸整体,2025,8,7.6889,8.0,7.234,0.1104
烟台近岸整体,2025,9,7.7249,8.0,7.3316,0.1139
烟台近岸整体,2025,10,7.7392,8.0,7.3573,0.1141
烟台近岸整体,2025,11,7.7238,8.0,7.2896,0.1132
烟台近岸整体,2025,12,7.6896,8.0,7.2646,0.11
