region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.6913,8.0,7.2957,0.097
烟台近岸整体,2025,2,7.6908,8.0,7.143,0.1057
烟台近岸整体,2025,3,7.6911,8.0,7.1717,0.1151
烟台近岸整体,2025,4,7.6951,8.0,7.1447,0.1188
烟台近岸整体,2025,5,7.694,8.0,7.1831,0.1141
烟台近岸整体,2025,6,7.6904,8.0,7.107,0.1054
烟台近岸整体,2025,7,7.6907,8.0,7.2709,0.0969
烟台近岸整体,2025,8,7.696,8.0,7.2719,0.0928
烟台近岸整体,2025,9,7.7008,8.0,7.2608,0.0931
烟台近岸整体,2025,10,7.7031,8.0,7.2083,0.0935
烟台近岸整体,2025,11,7.7005,8.0,7.3068,0.0925
烟台近岸整体,2025,12,7.6974,8.0,7.3314,0.0939
