region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.5232,7.943,7.1897,0.0918
烟台近岸整体,2025,2,7.5211,7.8663,7.1116,0.0915
烟台近岸整体,2025,3,7.5185,7.8718,7.1291,0.0928
烟台近岸整体,2025,4,7.5182,7.8348,7.1866,0.0917
烟台近岸整体,2025,5,7.5184,7.8544,7.1873,0.0921
烟台近岸整体,2025,6,7.5201,7.9002,7.1754,0.091
烟台近岸整体,2025,7,7.5245,7.9616,7.2005,0.0912
烟台近岸整体,2025,8,7.5274,7.8879,7.2005,0.0914
烟台近岸整体,2025,9,7.529,7.876,7.1455,0.0912
烟台近岸整体,2025,10,7.5287,7.9349,7.1999,0.0915
烟台近岸整体,2025,11,7.5287,7.9025,7.1877,0.0909
烟台近岸整体,2025,12,7.5287,7.9564,7.1386,0.0908
