region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.6379,8.0,6.6573,0.1993
烟台近岸整体,2025,2,7.5673,8.0,6.7624,0.2348
烟台近岸整体,2025,3,7.5077,8.0,6.7354,0.2588
烟台近岸整体,2025,4,7.4827,8.0,6.7211,0.2661
烟台近岸整体,2025,5,7.5071,8.0,6.737,0.2585
烟台近岸整体,2025,6,7.5672,8.0,6.7035,0.2366
烟台近岸整体,2025,7,7.6374,8.0,6.7955,0.1986
烟台近岸整体,2025,8,7.6946,8.0,6.6861,0.1581
烟台近岸整体,2025,9,7.7227,8.0,6.8102,0.1305
烟台近岸整体,2025,10,7.7309,8.0,6.8372,0.1208
烟台近岸整体,2025,11,7.7216,8.0,6.7732,0.1302
烟台近岸整体,2025,12,7.6952,8.0,6.7467,0.1584
