region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.9064,8.0,7.015,0.0874
烟台近岸整体,2025,2,7.8949,8.0,6.9774,0.1065
烟台近岸整体,2025,3,7.8824,8.0,6.956,0.1205
烟台近岸整体,2025,4,7.8775,8.0,6.9209,0.1257
烟台近岸整体,2025,5,7.8827,8.0,6.8852,0.12
烟台近岸整体,2025,6,7.8949,8.0,6.9224,0.1084
烟台近岸整体,2025,7,7.9045,8.0,6.9974,0.0872
烟台近岸整体,2025,8,7.9097,8.0,7.5261,0.0755
烟台近岸整体,2025,9,7.9091,8.0,7.4719,0.0742
烟台近岸整体,2025,10,7.9067,8.0,7.5789,0.0751
烟台近岸整体,2025,11,7.9079,8.0,7.529,0.0747
烟台近岸整体,2025,12,7.909,8.0,7.5292,0.077
