region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
芝罘湾,2022,1,7.5054,7.8278,7.1544,0.0909
芝罘湾,2022,2,7.5003,7.9146,7.1494,0.0922
芝罘湾,2022,3,7.4961,7.8527,7.182,0.0909
芝罘湾,2022,4,7.4962,7.8632,7.1058,0.0911
芝罘湾,2022,5,7.4963,7.8199,7.1597,0.0908
芝罘湾,2022,6,7.5011,7.8334,7.1485,0.0921
芝罘湾,2022,7,7.5046,7.8764,7.1683,0.0923
芝罘湾,2022,8,7.5113,7.8324,7.1219,0.0915
芝罘湾,2022,9,7.5167,7.9062,7.1707,0.0905
芝罘湾,2022,10,7.5176,7.8863,7.1767,0.09
芝罘湾,2022,11,7.5153,7.8815,7.1569,0.091
芝罘湾,2022,12,7.5117,7.8394,7.1873,0.0917
