region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
芝罘湾,2023,1,4.2363,5.1634,2.5447,0.5066
芝罘湾,2023,2,4.7646,5.8064,2.8405,0.5681
芝罘湾,2023,3,5.152,6.259,3.095,0.6141
芝罘湾,2023,4,5.2939,6.4146,3.203,0.6291
芝罘湾,2023,5,5.1524,6.2496,3.0728,0.6135
芝罘湾,2023,6,4.7648,5.8275,2.7321,0.5671
芝罘湾,2023,7,4.2345,5.1779,2.4819,0.5061
芝罘湾,2023,8,3.7041,4.5749,2.1111,0.4436
芝罘湾,2023,9,3.3192,4.082,1.9074,0.3995
芝罘湾,2023,10,3.1764,3.9323,1.8126,0.3822
芝罘湾,2023,11,3.3178,4.1064,1.7768,0.4004
芝罘湾,2023,12,3.706,4.6121,2.1728,0.4447
