region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
芝罘湾,2025,1,7.5088,8.0,6.9549,0.1501
芝罘湾,2025,2,7.3713,7.929,6.8756,0.1803
芝罘湾,2025,3,7.2939,7.8977,6.8264,0.1695
芝罘湾,2025,4,7.2727,7.9691,6.8833,0.1615
芝罘湾,2025,5,7.2932,7.8537,6.8169,0.1694
芝罘湾,2025,6,7.3726,7.9879,6.9174,0.1793
芝罘湾,2025,7,7.5103,7.9397,6.918,0.1508
芝罘湾,2025,8,7.6122,8.0,7.1215,0.1088
芝罘湾,2025,9,7.6587,8.0,7.2661,0.1007
芝罘湾,2025,10,7.6736,8.0,7.2761,0.0995
芝罘湾,2025,11,7.6574,8.0,7.291,0.1005
芝罘湾,2025,12,7.6115,8.0,7.1543,0.1096
