region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2022,1,7.5265,7.8919,7.1586,0.0917
烟台近岸整体,2022,2,7.5233,7.8728,7.1618,0.0906
烟台近岸整体,2022,3,7.5207,7.8743,7.1512,0.0918
烟台近岸整体,2022,4,7.5208,7.8876,7.1829,0.0928
烟台近岸整体,2022,5,7.5202,7.8487,7.1882,0.0913
烟台近岸整体,2022,6,7.5215,7.8917,7.1567,0.0911
烟台近岸整体,2022,7,7.5253,7.8741,7.2008,0.0907
烟台近岸整体,2022,8,7.5271,7.889,7.2045,0.0918
烟台近岸整体,2022,9,7.5332,7.8539,7.2292,0.0913
烟台近岸整体,2022,10,7.5323,7.9239,7.1015,0.0922
烟台近岸整体,2022,11,7.5308,7.8747,7.098,0.0908
烟台近岸整体,2022,12,7.5287,7.8827,7.1524,0.0901
芝罘湾,2022,1,7.5054,7.8278,7.1544,0.0909
芝罘湾,2022,2,7.5003,7.9146,7.1494,0.0922
芝罘湾,2022,3,7.4961,7.8527,7.182,0.0909
芝罘湾,2022,4,7.4962,7.8632,7.1058,0.0911
芝罘湾,2022,5,7.4963,7.8199,7.1597,0.0908
芝罘湾,2022,6,7.5011,7.8334,7.1485,0.0921
芝罘湾,2022,7,7.5046,7.8764,7.1683,0.0923
芝罘湾,2022,8,7.5113,7.8324,7.1219,0.0915
芝罘湾,2022,9,7.5167,7.9062,7.1707,0.0905
芝罘湾,2022,10,7.5176,7.8863,7.1767,0.09
芝罘湾,2022,11,7.5153,7.8815,7.1569,0.091
芝罘湾,2022,12,7.5117,7.8394,7.1873,0.0917
四十里湾,2022,1,7.5099,7.8614,7.1478,0.0916
四十里湾,2022,2,7.5048,7.8424,7.1168,0.0913
四十里湾,2022,3,7.5007,7.8576,7.1561,0.0916
四十里湾,2022,4,7.5004,7.8511,7.196,0.0912
四十里湾,2022,5,7.5015,7.8408,7.1747,0.0918
四十里湾,2022,6,7.5052,7.8457,7.1721,0.091
四十里湾,2022,7,7.51,7.8242,7.1502,0.0913
四十里湾,2022,8,7.5145,7.8662,7.1756,0.0913
四十里湾,2022,9,7.5176,7.8957,7.1208,0.0915
四十里湾,2022,10,7.5193,7.8692,7.1501,0.0913
四十里湾,2022,11,7.5186,7.9119,7.1585,0.0905
四十里湾,2022,12,7.5142,7.873,7.1593,0.0919
养马岛附近,2022,1,7.5156,7.8604,7.1567,0.091
养马岛附近,2022,2,7.5112,7.8798,7.1792,0.0917
养马岛附近,2022,3,7.5073,7.8638,7.1695,0.092
养马岛附近,2022,4,7.5067,7.8318,7.1355,0.0913
养马岛附近,2022,5,7.5063,7.8589,7.1454,0.0916
养马岛附近,2022,6,7.5101,7.8854,7.1534,0.0912
养马岛附近,2022,7,7.5156,7.9049,7.163,0.0914
养马岛附近,2022,8,7.5198,7.873,7.1783,0.091
养马岛附近,2022,9,7.523,7.9091,7.18,0.0927
养马岛附近,2022,10,7.5238,7.8817,7.1373,0.0918
养马岛附近,2022,11,7.5214,7.8939,7.1878,0.0907
养马岛附近,2022,12,7.5203,7.9097,7.1952,0.091
