region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,2.4065,5.1971,1.6627,0.3784
烟台近岸整体,2025,2,2.7089,5.7099,1.8982,0.4227
烟台近岸整体,2025,3,2.928,6.1694,2.0884,0.456
烟台近岸整体,2025,4,3.0079,6.4003,2.1832,0.4696
烟台近岸整体,2025,5,2.9277,6.1681,2.0607,0.4576
烟台近岸整体,2025,6,2.7089,5.7076,1.9308,0.4229
烟台近岸整体,2025,7,2.4066,5.0876,1.6687,0.3781
烟台近岸整体,2025,8,2.1063,4.4779,1.4103,0.3322
烟台近岸整体,2025,9,1.8857,4.0091,1.29,0.299
烟台近岸整体,2025,10,1.805,3.9077,1.2078,0.29
烟台近岸整体,2025,11,1.8876,4.0118,1.234,0.3002
烟台近岸整体,2025,12,2.1061,4.4624,1.4175,0.3331
芝罘湾,2025,1,4.4677,5.4865,2.6636,0.5332
芝罘湾,2025,2,5.0267,6.1054,3.0,0.598
芝罘湾,2025,3,5.4347,6.559,3.2309,0.6457
芝罘湾,2025,4,5.5861,6.8045,3.3981,0.6632
芝罘湾,2025,5,5.4343,6.6393,3.2296,0.6474
芝罘湾,2025,6,5.027,6.1604,2.9984,0.5984
芝罘湾,2025,7,4.4686,5.4701,2.6135,0.5336
芝罘湾,2025,8,3.9096,4.8213,2.2729,0.4679
芝罘湾,2025,9,3.5,4.3295,2.019,0.4195
芝罘湾,2025,10,3.3507,4.2006,1.9707,0.4026
芝罘湾,2025,11,3.5013,4.3609,2.0981,0.4199
芝罘湾,2025,12,3.9106,4.7837,2.3005,0.4675
四十里湾,2025,1,4.0725,5.3191,2.2014,0.625
四十里湾,2025,2,4.5822,5.9157,2.4736,0.7025
四十里湾,2025,3,4.9548,6.4302,2.7286,0.7576
四十里湾,2025,4,5.0908,6.5887,2.7584,0.7791
四十里湾,2025,5,4.9548,6.4263,2.6664,0.7595
四十里湾,2025,6,4.5814,5.9825,2.5352,0.7008
四十里湾,2025,7,4.0734,5.3434,2.1953,0.6261
四十里湾,2025,8,3.5639,4.7465,1.9484,0.5486
四十里湾,2025,9,3.1916,4.2141,1.6579,0.4921
四十里湾,2025,10,3.0534,4.0951,1.5934,0.4729
四十里湾,2025,11,3.1909,4.245,1.5993,0.493
四十里湾,2025,12,3.5632,4.7391,1.8614,0.5494
养马岛附近,2025,1,3.5367,5.1471,1.8371,0.7136
养马岛附近,2025,2,3.9761,5.7844,1.9938,0.8007
养马岛附近,2025,3,4.3008,6.1823,2.1917,0.8653
养马岛附近,2025,4,4.4189,6.3931,2.2712,0.8889
养马岛附近,2025,5,4.3002,6.2059,2.257,0.8653
养马岛附近,2025,6,3.9779,5.763,2.0459,0.8004
养马岛附近,2025,7,3.5368,5.1356,1.7719,0.7116
养马岛附近,2025,8,3.0932,4.591,1.5342,0.6236
养马岛附近,2025,9,2.7696,4.0665,1.3917,0.56
养马岛附近,2025,10,2.6521,3.9163,1.3224,0.5388
养马岛附近,2025,11,2.7697,4.0624,1.3579,0.5608
养马岛附近,2025,12,3.0942,4.5221,1.465,0.6249
