region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.7482,8.0,7.1433,0.0909
烟台近岸整体,2025,2,7.7286,8.0,7.0751,0.0978
烟台近岸整体,2025,3,7.7121,8.0,6.9529,0.1055
烟台近岸整体,2025,4,7.7029,8.0,7.0071,0.1068
烟台近岸整体,2025,5,7.7116,8.0,6.9941,0.105
烟台近岸整体,2025,6,7.7288,8.0,7.0881,0.0974
烟台近岸整体,2025,7,7.7481,8.0,7.1359,0.0908
烟台近岸整体,2025,8,7.7647,8.0,7.3114,0.0875
烟台近岸整体,2025,9,7.7794,8.0,7.3038,0.0879
烟台近岸整体,2025,10,7.785,8.0,7.2458,0.0878
烟台近岸整体,2025,11,7.7808,8.0,7.3976,0.087
烟台近岸整体,2025,12,7.7653,8.0,7.2964,0.0876
芝罘湾,2025,1,7.5088,8.0,6.9549,0.1501
芝罘湾,2025,2,7.3713,7.929,6.8756,0.1803
芝罘湾,2025,3,7.2939,7.8977,6.8264,0.1695
芝罘湾,2025,4,7.2727,7.9691,6.8833,0.1615
芝罘湾,2025,5,7.2932,7.8537,6.8169,0.1694
芝罘湾,2025,6,7.3726,7.9879,6.9174,0.1793
芝罘湾,2025,7,7.5103,7.9397,6.918,0.1508
芝罘湾,2025,8,7.6122,8.0,7.1215,0.1088
芝罘湾,2025,9,7.6587,8.0,7.2661,0.1007
芝罘湾,2025,10,7.6736,8.0,7.2761,0.0995
芝罘湾,2025,11,7.6574,8.0,7.291,0.1005
芝罘湾,2025,12,7.6115,8.0,7.1543,0.1096
四十里湾,2025,1,7.578,7.9941,7.0178,0.1393
四十里湾,2025,2,7.472,7.9835,6.9061,0.1836
四十里湾,2025,3,7.3946,7.9903,6.8759,0.1929
四十里湾,2025,4,7.3692,8.0,6.8751,0.1938
四十里湾,2025,5,7.3956,7.9909,6.884,0.1934
四十里湾,2025,6,7.4718,7.9943,6.944,0.1832
四十里湾,2025,7,7.578,8.0,6.9715,0.1397
四十里湾,2025,8,7.6488,8.0,7.2252,0.1083
四十里湾,2025,9,7.6876,8.0,7.2944,0.1018
四十里湾,2025,10,7.7012,8.0,7.2699,0.0983
四十里湾,2025,11,7.6877,8.0,7.284,0.1012
四十里湾,2025,12,7.6499,8.0,7.109,0.1095
养马岛附近,2025,1,7.6458,8.0,7.0269,0.126
养马岛附近,2025,2,7.5753,7.9938,6.9839,0.167
养马岛附近,2025,3,7.5193,7.9849,6.9374,0.1922
养马岛附近,2025,4,7.4986,7.9951,6.8959,0.1991
养马岛附近,2025,5,7.5186,7.9906,6.9208,0.1926
养马岛附近,2025,6,7.5748,8.0,6.9326,0.1678
养马岛附近,2025,7,7.6464,8.0,7.0426,0.128
养马岛附近,2025,8,7.6945,8.0,7.2924,0.1056
养马岛附近,2025,9,7.7216,8.0,7.2941,0.0988
养马岛附近,2025,10,7.7298,8.0,7.3502,0.0957
养马岛附近,2025,11,7.7221,8.0,7.3338,0.0975
养马岛附近,2025,12,7.6948,8.0,7.2597,0.1053
