region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.6489,8.0,7.2728,0.1041
烟台近岸整体,2025,2,7.6159,8.0,7.2621,0.0982
烟台近岸整体,2025,3,7.5967,7.9634,7.268,0.0939
烟台近岸整体,2025,4,7.5884,7.9789,7.2232,0.0925
烟台近岸整体,2025,5,7.5962,7.975,7.2454,0.0943
烟台近岸整体,2025,6,7.6161,8.0,7.2454,0.0976
烟台近岸整体,2025,7,7.6488,8.0,7.2647,0.1049
烟台近岸整体,2025,8,7.6892,8.0,7.3302,0.1098
烟台近岸整体,2025,9,7.7238,8.0,7.3386,0.1135
烟台近岸整体,2025,10,7.7381,8.0,7.293,0.1136
烟台近岸整体,2025,11,7.7252,8.0,7.3109,0.1127
烟台近岸整体,2025,12,7.6897,8.0,7.3219,0.1102
芝罘湾,2025,1,7.5316,7.8798,7.2192,0.0823
芝罘湾,2025,2,7.5253,7.8229,7.2164,0.0795
芝罘湾,2025,3,7.5242,7.8268,7.1809,0.0792
芝罘湾,2025,4,7.5245,7.8463,7.2265,0.0801
芝罘湾,2025,5,7.5235,7.8347,7.1448,0.0804
芝罘湾,2025,6,7.5266,7.8718,7.2372,0.0807
芝罘湾,2025,7,7.5331,7.8648,7.1989,0.0818
芝罘湾,2025,8,7.5432,7.8753,7.1841,0.0825
芝罘湾,2025,9,7.5594,7.9472,7.2361,0.0865
芝罘湾,2025,10,7.5666,7.9434,7.2604,0.0885
芝罘湾,2025,11,7.5581,7.9401,7.2189,0.0865
芝罘湾,2025,12,7.5426,7.885,7.2615,0.0831
四十里湾,2025,1,7.5425,7.9496,7.2453,0.0841
四十里湾,2025,2,7.5325,7.8642,7.1973,0.0822
四十里湾,2025,3,7.5278,7.849,7.2217,0.0811
四十里湾,2025,4,7.5272,7.9036,7.2058,0.0809
四十里湾,2025,5,7.5289,7.8598,7.2363,0.0802
四十里湾,2025,6,7.5323,7.8559,7.2133,0.082
四十里湾,2025,7,7.5425,7.9096,7.2438,0.0854
四十里湾,2025,8,7.5576,7.9127,7.2222,0.0885
四十里湾,2025,9,7.5785,8.0,7.25,0.0945
四十里湾,2025,10,7.5885,7.979,7.2705,0.0947
四十里湾,2025,11,7.5787,8.0,7.2353,0.0934
四十里湾,2025,12,7.5588,7.9547,7.237,0.0896
养马岛附近,2025,1,7.5656,7.9581,7.2203,0.0922
养马岛附近,2025,2,7.5486,7.9534,7.2366,0.0874
养马岛附近,2025,3,7.5408,7.8815,7.1942,0.0842
养马岛附近,2025,4,7.5378,7.8675,7.2384,0.0849
养马岛附近,2025,5,7.5401,7.9421,7.2467,0.0845
养马岛附近,2025,6,7.5481,7.9291,7.2252,0.0873
养马岛附近,2025,7,7.5662,8.0,7.2173,0.094
养马岛附近,2025,8,7.5902,8.0,7.2424,0.0999
养马岛附近,2025,9,7.6156,8.0,7.2083,0.1064
养马岛附近,2025,10,7.6262,8.0,7.2774,0.1085
养马岛附近,2025,11,7.6162,8.0,7.2644,0.1056
养马岛附近,2025,12,7.5904,8.0,7.2235,0.0995
