region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.6913,8.0,7.2957,0.097
烟台近岸整体,2025,2,7.6908,8.0,7.143,0.1057
烟台近岸整体,2025,3,7.6911,8.0,7.1717,0.1151
烟台近岸整体,2025,4,7.6951,8.0,7.1447,0.1188
烟台近岸整体,2025,5,7.694,8.0,7.1831,0.1141
烟台近岸整体,2025,6,7.6904,8.0,7.107,0.1054
烟台近岸整体,2025,7,7.6907,8.0,7.2709,0.0969
烟台近岸整体,2025,8,7.696,8.0,7.2719,0.0928
烟台近岸整体,2025,9,7.7008,8.0,7.2608,0.0931
烟台近岸整体,2025,10,7.7031,8.0,7.2083,0.0935
烟台近岸整体,2025,11,7.7005,8.0,7.3068,0.0925
烟台近岸整体,2025,12,7.6974,8.0,7.3314,0.0939
芝罘湾,2025,1,7.6718,8.0,7.1546,0.191
芝罘湾,2025,2,7.5529,8.0,7.0584,0.1867
芝罘湾,2025,3,7.5102,8.0,7.089,0.1614
芝罘湾,2025,4,7.4999,8.0,7.0534,0.151
芝罘湾,2025,5,7.5106,8.0,7.0544,0.1602
芝罘湾,2025,6,7.5532,8.0,6.9922,0.186
芝罘湾,2025,7,7.6722,8.0,7.1342,0.191
芝罘湾,2025,8,7.7769,8.0,7.3626,0.1542
芝罘湾,2025,9,7.7426,8.0,7.3448,0.148
芝罘湾,2025,10,7.7233,8.0,7.3018,0.1393
芝罘湾,2025,11,7.7407,8.0,7.2868,0.1479
芝罘湾,2025,12,7.7767,8.0,7.3251,0.155
四十里湾,2025,1,7.7226,8.0,7.1871,0.1743
四十里湾,2025,2,7.6412,8.0,7.0592,0.2009
四十里湾,2025,3,7.5827,8.0,7.0932,0.1932
四十里湾,2025,4,7.5643,8.0,7.0745,0.1877
四十里湾,2025,5,7.5836,8.0,7.0466,0.1939
四十里湾,2025,6,7.6408,8.0,7.1161,0.2015
四十里湾,2025,7,7.722,8.0,7.187,0.1741
四十里湾,2025,8,7.7491,8.0,7.3548,0.1475
四十里湾,2025,9,7.7168,8.0,7.3251,0.1311
四十里湾,2025,10,7.7068,8.0,7.3361,0.1237
四十里湾,2025,11,7.7153,8.0,7.3253,0.1319
四十里湾,2025,12,7.7481,8.0,7.3146,0.1481
养马岛附近,2025,1,7.7248,8.0,7.1323,0.1465
养马岛附近,2025,2,7.6953,8.0,7.1293,0.1789
养马岛附近,2025,3,7.669,8.0,7.0619,0.1931
养马岛附近,2025,4,7.6595,8.0,7.0816,0.1975
养马岛附近,2025,5,7.6692,8.0,7.1021,0.1938
养马岛附近,2025,6,7.6948,8.0,7.0472,0.1803
养马岛附近,2025,7,7.7237,8.0,7.201,0.1464
养马岛附近,2025,8,7.7194,8.0,7.347,0.1303
养马岛附近,2025,9,7.7004,8.0,7.3528,0.1129
养马岛附近,2025,10,7.6969,8.0,7.2975,0.1085
养马岛附近,2025,11,7.7012,8.0,7.3458,0.1135
养马岛附近,2025,12,7.717,8.0,7.3616,0.1301
