region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.6379,8.0,6.6573,0.1993
烟台近岸整体,2025,2,7.5673,8.0,6.7624,0.2348
烟台近岸整体,2025,3,7.5077,8.0,6.7354,0.2588
烟台近岸整体,2025,4,7.4827,8.0,6.7211,0.2661
烟台近岸整体,2025,5,7.5071,8.0,6.737,0.2585
烟台近岸整体,2025,6,7.5672,8.0,6.7035,0.2366
烟台近岸整体,2025,7,7.6374,8.0,6.7955,0.1986
烟台近岸整体,2025,8,7.6946,8.0,6.6861,0.1581
烟台近岸整体,2025,9,7.7227,8.0,6.8102,0.1305
烟台近岸整体,2025,10,7.7309,8.0,6.8372,0.1208
烟台近岸整体,2025,11,7.7216,8.0,6.7732,0.1302
烟台近岸整体,2025,12,7.6952,8.0,6.7467,0.1584
芝罘湾,2025,1,7.1103,7.9458,6.7309,0.1952
芝罘湾,2025,2,7.0603,7.888,6.6919,0.1453
芝罘湾,2025,3,7.0379,7.8704,6.6351,0.1216
芝罘湾,2025,4,7.0298,7.8237,6.6841,0.1158
芝罘湾,2025,5,7.038,7.8791,6.6976,0.1209
芝罘湾,2025,6,7.0597,7.9294,6.6353,0.1456
芝罘湾,2025,7,7.1075,7.9901,6.6881,0.1986
芝罘湾,2025,8,7.2141,8.0,6.7093,0.2587
芝罘湾,2025,9,7.3221,8.0,6.7455,0.2809
芝罘湾,2025,10,7.3695,7.9901,6.7557,0.2811
芝罘湾,2025,11,7.3223,7.9882,6.7141,0.2812
芝罘湾,2025,12,7.2132,7.9616,6.7224,0.2582
四十里湾,2025,1,7.1899,8.0,6.7234,0.2544
四十里湾,2025,2,7.1112,8.0,6.6971,0.2014
四十里湾,2025,3,7.0761,7.8803,6.6544,0.1701
四十里湾,2025,4,7.0656,7.9329,6.6501,0.1604
四十里湾,2025,5,7.0762,7.9333,6.6077,0.1703
四十里湾,2025,6,7.1114,7.9851,6.7187,0.2041
四十里湾,2025,7,7.1915,7.9925,6.7238,0.2532
四十里湾,2025,8,7.3103,7.9725,6.7688,0.287
四十里湾,2025,9,7.4182,8.0,6.7686,0.283
四十里湾,2025,10,7.4599,8.0,6.7573,0.275
四十里湾,2025,11,7.4184,8.0,6.7598,0.2839
四十里湾,2025,12,7.3095,8.0,6.7341,0.2868
养马岛附近,2025,1,7.3292,7.9785,6.7153,0.2942
养马岛附近,2025,2,7.23,7.9966,6.6935,0.2752
养马岛附近,2025,3,7.1753,7.9609,6.7275,0.2508
养马岛附近,2025,4,7.1565,7.9913,6.7182,0.2401
养马岛附近,2025,5,7.1729,7.9789,6.7168,0.2499
养马岛附近,2025,6,7.2298,7.9929,6.7254,0.2755
养马岛附近,2025,7,7.3286,8.0,6.7435,0.2955
养马岛附近,2025,8,7.4472,8.0,6.74,0.2882
养马岛附近,2025,9,7.5378,8.0,6.7716,0.2609
养马岛附近,2025,10,7.5691,8.0,6.7328,0.2479
养马岛附近,2025,11,7.5365,8.0,6.6987,0.2618
养马岛附近,2025,12,7.4467,8.0,6.74,0.2884
