region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.9047,8.0,7.0275,0.0882
烟台近岸整体,2025,2,7.8946,8.0,6.9406,0.1082
烟台近岸整体,2025,3,7.8822,8.0,6.8976,0.1212
烟台近岸整体,2025,4,7.8781,8.0,6.8246,0.1254
烟台近岸整体,2025,5,7.8824,8.0,6.9473,0.1206
烟台近岸整体,2025,6,7.8936,8.0,6.9357,0.1073
烟台近岸整体,2025,7,7.9059,8.0,6.9802,0.0884
烟台近岸整体,2025,8,7.9096,8.0,7.5389,0.0761
烟台近岸整体,2025,9,7.908,8.0,7.5675,0.0744
烟台近岸整体,2025,10,7.9058,8.0,7.5809,0.0754
烟台近岸整体,2025,11,7.9077,8.0,7.5328,0.0749
烟台近岸整体,2025,12,7.911,8.0,7.5446,0.0753
芝罘湾,2025,1,7.6138,8.0,6.8564,0.3092
芝罘湾,2025,2,7.3657,8.0,6.8612,0.3215
芝罘湾,2025,3,7.2592,8.0,6.824,0.2699
芝罘湾,2025,4,7.2329,8.0,6.8205,0.2494
芝罘湾,2025,5,7.2573,8.0,6.8094,0.2713
芝罘湾,2025,6,7.3665,8.0,6.8424,0.3215
芝罘湾,2025,7,7.614,8.0,6.8716,0.3083
芝罘湾,2025,8,7.8259,8.0,6.9574,0.1247
芝罘湾,2025,9,7.8558,8.0,7.2691,0.1026
芝罘湾,2025,10,7.8651,8.0,7.4642,0.1009
芝罘湾,2025,11,7.856,8.0,7.2001,0.1026
芝罘湾,2025,12,7.8257,8.0,7.0578,0.1232
四十里湾,2025,1,7.7407,8.0,6.8545,0.2477
四十里湾,2025,2,7.5497,8.0,6.8174,0.3396
四十里湾,2025,3,7.4221,8.0,6.8487,0.3407
四十里湾,2025,4,7.3829,8.0,6.8075,0.3307
四十里湾,2025,5,7.4224,8.0,6.8894,0.3389
四十里湾,2025,6,7.5485,8.0,6.8543,0.3395
四十里湾,2025,7,7.7401,8.0,6.8531,0.248
四十里湾,2025,8,7.8516,8.0,7.0204,0.1093
四十里湾,2025,9,7.873,8.0,7.4546,0.1004
四十里湾,2025,10,7.8809,8.0,7.46,0.0978
四十里湾,2025,11,7.8721,8.0,7.4737,0.0999
四十里湾,2025,12,7.8511,8.0,6.9868,0.1092
养马岛附近,2025,1,7.827,8.0,6.8841,0.1729
养马岛附近,2025,2,7.7177,8.0,6.9055,0.2834
养马岛附近,2025,3,7.6339,8.0,6.8895,0.327
养马岛附近,2025,4,7.6026,8.0,6.7948,0.3367
养马岛附近,2025,5,7.6358,8.0,6.8317,0.3256
养马岛附近,2025,6,7.7179,8.0,6.8422,0.2849
养马岛附近,2025,7,7.826,8.0,6.9164,0.1726
养马岛附近,2025,8,7.8771,8.0,7.1966,0.0999
养马岛附近,2025,9,7.8914,8.0,7.4317,0.0916
养马岛附近,2025,10,7.8967,8.0,7.5057,0.0891
养马岛附近,2025,11,7.8914,8.0,7.4842,0.0926
养马岛附近,2025,12,7.8773,8.0,7.1463,0.1002
