region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2020,1,3.0738,4.5332,1.5452,0.6207
养马岛附近,2020,2,3.4586,4.9987,1.7565,0.6967
养马岛附近,2020,3,3.7404,5.453,1.8431,0.753
养马岛附近,2020,4,3.8433,5.5807,1.8955,0.7722
养马岛附近,2020,5,3.7403,5.4639,1.8814,0.7531
养马岛附近,2020,6,3.4587,5.0467,1.7285,0.6981
养马岛附近,2020,7,3.074,4.4765,1.5106,0.6216
养马岛附近,2020,8,2.691,3.971,1.3013,0.5438
养马岛附近,2020,9,2.4081,3.6013,1.2032,0.4898
养马岛附近,2020,10,2.306,3.4109,1.1161,0.4692
养马岛附近,2020,11,2.4097,3.627,1.1352,0.4882
养马岛附近,2020,12,2.6886,3.9137,1.2782,0.5439
养马岛附近,2021,1,3.1661,4.636,1.4553,0.6399
养马岛附近,2021,2,3.5625,5.1476,1.7873,0.7177
养马岛附近,2021,3,3.853,5.6479,1.8894,0.775
养马岛附近,2021,4,3.9584,5.6853,2.0042,0.7959
养马岛附近,2021,5,3.8515,5.5624,1.9454,0.7754
养马岛附近,2021,6,3.5621,5.1495,1.7955,0.7168
养马岛附近,2021,7,3.1655,4.6013,1.6071,0.6387
养马岛附近,2021,8,2.7714,4.1102,1.3357,0.5598
养马岛附近,2021,9,2.4795,3.6529,1.1855,0.5041
养马岛附近,2021,10,2.375,3.5528,1.1133,0.4819
养马岛附近,2021,11,2.4812,3.6854,1.1773,0.5041
养马岛附近,2021,12,2.7705,4.1014,1.2921,0.5604
养马岛附近,2022,1,3.2576,4.776,1.6296,0.658
养马岛附近,2022,2,3.666,5.3185,1.842,0.7384
养马岛附近,2022,3,3.9652,5.7123,2.0475,0.7976
养马岛附近,2022,4,4.0731,5.9153,2.0188,0.8199
养马岛附近,2022,5,3.9643,5.7601,2.0598,0.7969
养马岛附近,2022,6,3.6651,5.3847,1.8551,0.7383
养马岛附近,2022,7,3.26,4.7493,1.6401,0.6583
养马岛附近,2022,8,2.852,4.1901,1.3821,0.5759
养马岛附近,2022,9,2.5519,3.7597,1.2211,0.5159
养马岛附近,2022,10,2.4436,3.6522,1.1777,0.496
养马岛附近,2022,11,2.5531,3.7785,1.209,0.5168
养马岛附近,2022,12,2.8521,4.167,1.4128,0.5746
养马岛附近,2023,1,3.3525,4.8536,1.6247,0.6748
养马岛附近,2023,2,3.7701,5.4597,1.8585,0.7593
养马岛附近,2023,3,4.0759,5.9042,2.0672,0.8184
养马岛附近,2023,4,4.1887,6.1035,2.095,0.8419
养马岛附近,2023,5,4.0763,5.925,2.067,0.8197
养马岛附近,2023,6,3.7703,5.4528,1.9511,0.7594
养马岛附近,2023,7,3.3506,4.957,1.6697,0.6758
养马岛附近,2023,8,2.9335,4.3419,1.3874,0.5926
养马岛附近,2023,9,2.6249,3.856,1.265,0.5312
养马岛附近,2023,10,2.5152,3.7598,1.2016,0.5093
养马岛附近,2023,11,2.6245,3.8381,1.2613,0.5327
养马岛附近,2023,12,2.9307,4.3239,1.4389,0.5925
养马岛附近,2024,1,3.4417,4.9936,1.7488,0.6938
养马岛附近,2024,2,3.873,5.5653,1.9508,0.7804
养马岛附近,2024,3,4.1901,6.0498,2.0968,0.8427
养马岛附近,2024,4,4.3045,6.2142,2.21,0.8646
养马岛附近,2024,5,4.19,6.0658,2.1148,0.8428
养马岛附近,2024,6,3.8732,5.6076,1.9192,0.7799
养马岛附近,2024,7,3.4433,5.01,1.7183,0.6941
养马岛附近,2024,8,3.0121,4.3931,1.4626,0.608
养马岛附近,2024,9,2.6977,3.9154,1.3377,0.5454
养马岛附近,2024,10,2.5828,3.8462,1.2767,0.5227
养马岛附近,2024,11,2.6985,3.9607,1.3391,0.5456
养马岛附近,2024,12,3.0111,4.4273,1.43,0.6084
养马岛附近,2025,1,3.535,5.1552,1.8285,0.7105
养马岛附近,2025,2,3.977,5.7271,1.9333,0.8001
养马岛附近,2025,3,4.2999,6.1425,2.1854,0.8636
养马岛附近,2025,4,4.4202,6.4261,2.1854,0.889
养马岛附近,2025,5,4.3012,6.2501,2.216,0.8652
养马岛附近,2025,6,3.9785,5.7205,1.9849,0.7998
养马岛附近,2025,7,3.5357,5.1775,1.7902,0.7121
养马岛附近,2025,8,3.0938,4.5171,1.5241,0.6238
养马岛附近,2025,9,2.7707,4.0711,1.1818,0.56
养马岛附近,2025,10,2.6512,3.9797,1.2765,0.5352
养马岛附近,2025,11,2.7698,4.0615,1.3493,0.56
养马岛附近,2025,12,3.0933,4.4891,1.5259,0.6238
