region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2020,1,7.695,8.0,7.2273,0.1052
养马岛附近,2020,2,7.6554,8.0,7.1201,0.122
养马岛附近,2020,3,7.6156,8.0,6.9689,0.1451
养马岛附近,2020,4,7.5982,8.0,6.9705,0.1561
养马岛附近,2020,5,7.6158,8.0,7.0274,0.145
养马岛附近,2020,6,7.6544,8.0,7.0436,0.122
养马岛附近,2020,7,7.6961,8.0,7.2072,0.1064
养马岛附近,2020,8,7.7266,8.0,7.29,0.0961
养马岛附近,2020,9,7.7469,8.0,7.4036,0.092
养马岛附近,2020,10,7.7538,8.0,7.3574,0.0906
养马岛附近,2020,11,7.7471,8.0,7.3739,0.0908
养马岛附近,2020,12,7.7269,8.0,7.3389,0.0969
养马岛附近,2021,1,7.6878,8.0,7.1567,0.1082
养马岛附近,2021,2,7.6418,8.0,7.0805,0.129
养马岛附近,2021,3,7.5971,8.0,6.9488,0.1551
养马岛附近,2021,4,7.5784,7.9953,6.9433,0.1668
养马岛附近,2021,5,7.5959,7.9951,6.9854,0.1558
养马岛附近,2021,6,7.6427,8.0,7.0291,0.1291
养马岛附近,2021,7,7.6885,8.0,7.0727,0.1088
养马岛附近,2021,8,7.721,8.0,7.3248,0.0983
养马岛附近,2021,9,7.7434,8.0,7.3097,0.0923
养马岛附近,2021,10,7.7494,8.0,7.3676,0.0907
养马岛附近,2021,11,7.7426,8.0,7.3292,0.0922
养马岛附近,2021,12,7.7216,8.0,7.2728,0.0978
养马岛附近,2022,1,7.6792,8.0,7.2412,0.1118
养马岛附近,2022,2,7.6279,8.0,6.9861,0.1383
养马岛附近,2022,3,7.5774,8.0,6.978,0.1665
养马岛附近,2022,4,7.5595,8.0,6.8903,0.1776
养马岛附近,2022,5,7.5793,8.0,6.971,0.1672
养马岛附近,2022,6,7.6264,8.0,6.965,0.1375
养马岛附近,2022,7,7.678,8.0,7.0552,0.1115
养马岛附近,2022,8,7.7141,8.0,7.2892,0.1001
养马岛附近,2022,9,7.738,8.0,7.3824,0.0941
养马岛附近,2022,10,7.7444,8.0,7.3471,0.093
养马岛附近,2022,11,7.737,8.0,7.3499,0.0933
养马岛附近,2022,12,7.7154,8.0,7.2636,0.1003
养马岛附近,2023,1,7.669,8.0,7.1213,0.1151
养马岛附近,2023,2,7.6106,8.0,6.9949,0.1469
养马岛附近,2023,3,7.5565,7.9996,6.9403,0.1761
养马岛附近,2023,4,7.5385,8.0,6.9317,0.186
养马岛附近,2023,5,7.5584,7.9831,6.9748,0.1755
养马岛附近,2023,6,7.6103,8.0,6.9707,0.1476
养马岛附近,2023,7,7.6689,8.0,7.1016,0.1157
养马岛附近,2023,8,7.7072,8.0,7.2775,0.1025
养马岛附近,2023,9,7.7311,8.0,7.3624,0.095
养马岛附近,2023,10,7.7403,8.0,7.3927,0.0938
养马岛附近,2023,11,7.7331,8.0,7.3163,0.0948
养马岛附近,2023,12,7.7082,8.0,7.2748,0.1026
养马岛附近,2024,1,7.6574,8.0,7.0749,0.121
养马岛附近,2024,2,7.5927,8.0,6.9399,0.1581
养马岛附近,2024,3,7.5379,8.0,6.9035,0.1858
养马岛附近,2024,4,7.5174,7.9865,6.9407,0.1944
养马岛附近,2024,5,7.5395,8.0,6.8875,0.1847
养马岛附近,2024,6,7.5935,8.0,6.9846,0.158
养马岛附近,2024,7,7.6569,8.0,6.9937,0.1209
养马岛附近,2024,8,7.702,8.0,7.2677,0.1046
养马岛附近,2024,9,7.7261,8.0,7.2892,0.0972
养马岛附近,2024,10,7.7338,8.0,7.3181,0.0941
养马岛附近,2024,11,7.7263,8.0,7.3328,0.0966
养马岛附近,2024,12,7.7017,8.0,7.2149,0.1037
养马岛附近,2025,1,7.6458,8.0,7.0269,0.126
养马岛附近,2025,2,7.5753,7.9938,6.9839,0.167
养马岛附近,2025,3,7.5193,7.9849,6.9374,0.1922
养马岛附近,2025,4,7.4986,7.9951,6.8959,0.1991
养马岛附近,2025,5,7.5186,7.9906,6.9208,0.1926
养马岛附近,2025,6,7.5748,8.0,6.9326,0.1678
养马岛附近,2025,7,7.6464,8.0,7.0426,0.128
养马岛附近,2025,8,7.6945,8.0,7.2924,0.1056
养马岛附近,2025,9,7.7216,8.0,7.2941,0.0988
养马岛附近,2025,10,7.7298,8.0,7.3502,0.0957
养马岛附近,2025,11,7.7221,8.0,7.3338,0.0975
养马岛附近,2025,12,7.6948,8.0,7.2597,0.1053
