region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2020,1,7.5904,8.0,7.2532,0.0997
养马岛附近,2020,2,7.5688,8.0,7.2257,0.094
养马岛附近,2020,3,7.5568,7.9866,7.2527,0.0895
养马岛附近,2020,4,7.5526,7.9695,7.2102,0.0896
养马岛附近,2020,5,7.557,8.0,7.2424,0.09
养马岛附近,2020,6,7.5678,7.9766,7.2689,0.0938
养马岛附近,2020,7,7.5914,8.0,7.2061,0.1014
养马岛附近,2020,8,7.6223,8.0,7.2657,0.108
养马岛附近,2020,9,7.6521,8.0,7.2963,0.1143
养马岛附近,2020,10,7.6653,8.0,7.2694,0.117
养马岛附近,2020,11,7.6522,8.0,7.2779,0.1132
养马岛附近,2020,12,7.6225,8.0,7.2897,0.1085
养马岛附近,2021,1,7.5852,8.0,7.2099,0.0978
养马岛附近,2021,2,7.564,8.0,7.2211,0.0927
养马岛附近,2021,3,7.5526,7.9609,7.2603,0.0886
养马岛附近,2021,4,7.5489,7.9393,7.2568,0.0872
养马岛附近,2021,5,7.5514,7.9394,7.2376,0.0886
养马岛附近,2021,6,7.5649,7.9676,7.2445,0.093
养马岛附近,2021,7,7.586,8.0,7.263,0.0993
养马岛附近,2021,8,7.615,8.0,7.2395,0.1062
养马岛附近,2021,9,7.6453,8.0,7.2351,0.1121
养马岛附近,2021,10,7.6564,8.0,7.2986,0.1143
养马岛附近,2021,11,7.6445,8.0,7.2585,0.1127
养马岛附近,2021,12,7.6157,8.0,7.2662,0.1057
养马岛附近,2022,1,7.5803,8.0,7.2549,0.0972
养马岛附近,2022,2,7.5606,7.972,7.2029,0.0912
养马岛附近,2022,3,7.5489,7.9827,7.2562,0.0881
养马岛附近,2022,4,7.5468,8.0,7.2138,0.0869
养马岛附近,2022,5,7.5507,7.9476,7.2335,0.0881
养马岛附近,2022,6,7.5592,7.9806,7.2545,0.0905
养马岛附近,2022,7,7.5791,8.0,7.2192,0.0971
养马岛附近,2022,8,7.6074,8.0,7.2557,0.1043
养马岛附近,2022,9,7.6372,8.0,7.3048,0.1108
养马岛附近,2022,10,7.6479,8.0,7.2664,0.1139
养马岛附近,2022,11,7.6362,8.0,7.2883,0.1107
养马岛附近,2022,12,7.6087,8.0,7.2793,0.1048
养马岛附近,2023,1,7.5751,7.9753,7.2458,0.0955
养马岛附近,2023,2,7.5557,7.957,7.2427,0.0895
养马岛附近,2023,3,7.5444,7.9579,7.1999,0.0859
养马岛附近,2023,4,7.5434,7.9488,7.2221,0.0861
养马岛附近,2023,5,7.5463,7.9022,7.2114,0.0855
养马岛附近,2023,6,7.5553,7.9542,7.2406,0.09
养马岛附近,2023,7,7.575,8.0,7.2248,0.0955
养马岛附近,2023,8,7.6006,8.0,7.2526,0.1043
养马岛附近,2023,9,7.6281,8.0,7.2787,0.1094
养马岛附近,2023,10,7.6409,8.0,7.309,0.1123
养马岛附近,2023,11,7.6301,8.0,7.2249,0.1096
养马岛附近,2023,12,7.6017,8.0,7.2493,0.1037
养马岛附近,2024,1,7.5696,7.9918,7.2515,0.0936
养马岛附近,2024,2,7.5512,7.9846,7.2427,0.0889
养马岛附近,2024,3,7.5428,7.8966,7.2227,0.0855
养马岛附近,2024,4,7.5394,7.8926,7.2364,0.0858
养马岛附近,2024,5,7.5444,7.9161,7.2212,0.0854
养马岛附近,2024,6,7.5519,7.9594,7.1927,0.0886
养马岛附近,2024,7,7.5691,7.9953,7.198,0.0943
养马岛附近,2024,8,7.596,8.0,7.2684,0.1025
养马岛附近,2024,9,7.6216,8.0,7.201,0.1082
养马岛附近,2024,10,7.6322,8.0,7.2613,0.11
养马岛附近,2024,11,7.6217,8.0,7.2582,0.1086
养马岛附近,2024,12,7.5957,8.0,7.2714,0.101
养马岛附近,2025,1,7.5656,7.9581,7.2203,0.0922
养马岛附近,2025,2,7.5486,7.9534,7.2366,0.0874
养马岛附近,2025,3,7.5408,7.8815,7.1942,0.0842
养马岛附近,2025,4,7.5378,7.8675,7.2384,0.0849
养马岛附近,2025,5,7.5401,7.9421,7.2467,0.0845
养马岛附近,2025,6,7.5481,7.9291,7.2252,0.0873
养马岛附近,2025,7,7.5662,8.0,7.2173,0.094
养马岛附近,2025,8,7.5902,8.0,7.2424,0.0999
养马岛附近,2025,9,7.6156,8.0,7.2083,0.1064
养马岛附近,2025,10,7.6262,8.0,7.2774,0.1085
养马岛附近,2025,11,7.6162,8.0,7.2644,0.1056
养马岛附近,2025,12,7.5904,8.0,7.2235,0.0995
