region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2020,1,7.516,7.8838,7.1703,0.0914
养马岛附近,2020,2,7.5126,7.87,7.1573,0.0916
养马岛附近,2020,3,7.5103,7.8311,7.1605,0.091
养马岛附近,2020,4,7.5076,7.889,7.1567,0.091
养马岛附近,2020,5,7.5104,7.8898,7.1784,0.0908
养马岛附近,2020,6,7.5137,7.8653,7.138,0.0923
养马岛附近,2020,7,7.5172,7.879,7.2029,0.0913
养马岛附近,2020,8,7.5206,7.8756,7.1238,0.0903
养马岛附近,2020,9,7.5245,7.8854,7.1618,0.091
养马岛附近,2020,10,7.5249,7.9372,7.1499,0.0915
养马岛附近,2020,11,7.5242,7.8725,7.1823,0.0919
养马岛附近,2020,12,7.5206,7.8557,7.1687,0.0906
养马岛附近,2021,1,7.5156,7.8584,7.1377,0.0914
养马岛附近,2021,2,7.5126,7.8772,7.1319,0.0921
养马岛附近,2021,3,7.5072,7.8563,7.1555,0.0925
养马岛附近,2021,4,7.5084,7.8628,7.1001,0.091
养马岛附近,2021,5,7.5083,7.8834,7.1568,0.0924
养马岛附近,2021,6,7.5116,7.9487,7.1819,0.0921
养马岛附近,2021,7,7.5154,7.8962,7.1805,0.0909
养马岛附近,2021,8,7.5205,7.8559,7.1899,0.0915
养马岛附近,2021,9,7.5229,7.9002,7.1028,0.0908
养马岛附近,2021,10,7.5235,7.8891,7.1848,0.0906
养马岛附近,2021,11,7.5243,7.8683,7.1587,0.0915
养马岛附近,2021,12,7.5203,7.9137,7.1239,0.091
养马岛附近,2022,1,7.5156,7.8604,7.1567,0.091
养马岛附近,2022,2,7.5112,7.8798,7.1792,0.0917
养马岛附近,2022,3,7.5073,7.8638,7.1695,0.092
养马岛附近,2022,4,7.5067,7.8318,7.1355,0.0913
养马岛附近,2022,5,7.5063,7.8589,7.1454,0.0916
养马岛附近,2022,6,7.5101,7.8854,7.1534,0.0912
养马岛附近,2022,7,7.5156,7.9049,7.163,0.0914
养马岛附近,2022,8,7.5198,7.873,7.1783,0.091
养马岛附近,2022,9,7.523,7.9091,7.18,0.0927
养马岛附近,2022,10,7.5238,7.8817,7.1373,0.0918
养马岛附近,2022,11,7.5214,7.8939,7.1878,0.0907
养马岛附近,2022,12,7.5203,7.9097,7.1952,0.091
养马岛附近,2023,1,7.5141,7.8618,7.1606,0.0909
养马岛附近,2023,2,7.5091,7.8185,7.1509,0.0928
养马岛附近,2023,3,7.5049,7.8553,7.1514,0.0908
养马岛附近,2023,4,7.5067,7.8888,7.1691,0.0903
养马岛附近,2023,5,7.5072,7.8464,7.1658,0.0913
养马岛附近,2023,6,7.511,7.8181,7.1525,0.0899
养马岛附近,2023,7,7.5123,7.8578,7.1574,0.0908
养马岛附近,2023,8,7.5191,7.8585,7.1634,0.0921
养马岛附近,2023,9,7.5215,7.8997,7.1644,0.0904
养马岛附近,2023,10,7.5223,7.8546,7.1917,0.0924
养马岛附近,2023,11,7.5221,7.8674,7.1641,0.0921
养马岛附近,2023,12,7.5174,7.9097,7.155,0.0914
养马岛附近,2024,1,7.5127,7.8714,7.1643,0.091
养马岛附近,2024,2,7.5087,7.8346,7.1648,0.0913
养马岛附近,2024,3,7.5048,7.8718,7.1467,0.091
养马岛附近,2024,4,7.5051,7.8726,7.1776,0.0916
养马岛附近,2024,5,7.5055,7.8323,7.14,0.0918
养马岛附近,2024,6,7.5102,7.8453,7.1742,0.0922
养马岛附近,2024,7,7.5133,7.842,7.1555,0.0913
养马岛附近,2024,8,7.5174,7.8776,7.0749,0.0915
养马岛附近,2024,9,7.5204,7.8923,7.1704,0.0917
养马岛附近,2024,10,7.5214,7.8991,7.1026,0.0917
养马岛附近,2024,11,7.5223,7.8981,7.1533,0.0921
养马岛附近,2024,12,7.5183,7.855,7.143,0.0917
养马岛附近,2025,1,7.5131,7.9135,7.142,0.0916
养马岛附近,2025,2,7.5078,7.8369,7.1732,0.0915
养马岛附近,2025,3,7.5035,7.8895,7.1511,0.0924
养马岛附近,2025,4,7.5033,7.8772,7.1072,0.0912
养马岛附近,2025,5,7.5055,7.832,7.1868,0.091
养马岛附近,2025,6,7.5082,7.8306,7.1849,0.0924
养马岛附近,2025,7,7.512,7.8888,7.1422,0.0917
养马岛附近,2025,8,7.5168,7.8851,7.1789,0.0914
养马岛附近,2025,9,7.52,7.8518,7.1901,0.09
养马岛附近,2025,10,7.5216,7.8643,7.1898,0.0917
养马岛附近,2025,11,7.5203,7.8541,7.1399,0.0918
养马岛附近,2025,12,7.5172,7.8774,7.206,0.0913
