region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2020,1,7.8772,8.0,7.1748,0.099
养马岛附近,2020,2,7.8409,8.0,6.935,0.1502
养马岛附近,2020,3,7.7782,8.0,6.8871,0.231
养马岛附近,2020,4,7.75,8.0,6.9057,0.2575
养马岛附近,2020,5,7.7782,8.0,6.9238,0.2314
养马岛附近,2020,6,7.8416,8.0,6.9023,0.152
养马岛附近,2020,7,7.878,8.0,7.094,0.0985
养马岛附近,2020,8,7.8946,8.0,7.5244,0.091
养马岛附近,2020,9,7.9039,8.0,7.4627,0.0831
养马岛附近,2020,10,7.9056,8.0,7.5409,0.0807
养马岛附近,2020,11,7.9037,8.0,7.5159,0.0838
养马岛附近,2020,12,7.8946,8.0,7.5048,0.0909
养马岛附近,2021,1,7.8726,8.0,7.0203,0.1017
养马岛附近,2021,2,7.8209,8.0,6.9364,0.1799
养马岛附近,2021,3,7.7468,8.0,6.8681,0.2596
养马岛附近,2021,4,7.7226,8.0,6.9134,0.2804
养马岛附近,2021,5,7.7479,8.0,6.89,0.2598
养马岛附近,2021,6,7.8196,8.0,6.8896,0.1813
养马岛附近,2021,7,7.8724,8.0,7.1057,0.1024
养马岛附近,2021,8,7.8916,8.0,7.4995,0.0933
养马岛附近,2021,9,7.9014,8.0,7.4985,0.0856
养马岛附近,2021,10,7.9032,8.0,7.5332,0.0838
养马岛附近,2021,11,7.9022,8.0,7.5036,0.0856
养马岛附近,2021,12,7.8915,8.0,7.491,0.0924
养马岛附近,2022,1,7.8667,8.0,7.0284,0.1086
养马岛附近,2022,2,7.7975,8.0,6.8274,0.2112
养马岛附近,2022,3,7.7204,8.0,6.8926,0.2813
养马岛附近,2022,4,7.6936,8.0,6.8796,0.2999
养马岛附近,2022,5,7.7195,8.0,6.8893,0.2815
养马岛附近,2022,6,7.7967,8.0,6.9053,0.2103
养马岛附近,2022,7,7.8666,8.0,7.0525,0.1091
养马岛附近,2022,8,7.8888,8.0,7.4447,0.0934
养马岛附近,2022,9,7.8991,8.0,7.5183,0.0883
养马岛附近,2022,10,7.9027,8.0,7.5302,0.0838
养马岛附近,2022,11,7.8984,8.0,7.4807,0.0881
养马岛附近,2022,12,7.8889,8.0,7.509,0.0942
养马岛附近,2023,1,7.8572,8.0,6.9439,0.1245
养马岛附近,2023,2,7.7694,8.0,6.8852,0.2383
养马岛附近,2023,3,7.6918,8.0,6.8189,0.2987
养马岛附近,2023,4,7.6659,8.0,6.8507,0.3156
养马岛附近,2023,5,7.6934,8.0,6.8552,0.2993
养马岛附近,2023,6,7.7714,8.0,6.9154,0.2393
养马岛附近,2023,7,7.8557,8.0,6.9246,0.1234
养马岛附近,2023,8,7.8855,8.0,7.2747,0.0955
养马岛附近,2023,9,7.8974,8.0,7.4589,0.0884
养马岛附近,2023,10,7.8999,8.0,7.499,0.0858
养马岛附近,2023,11,7.8975,8.0,7.4478,0.0881
养马岛附近,2023,12,7.8842,8.0,7.3147,0.0959
养马岛附近,2024,1,7.8438,8.0,6.9368,0.1453
养马岛附近,2024,2,7.7428,8.0,6.9009,0.2644
养马岛附近,2024,3,7.664,8.0,6.8226,0.3147
养马岛附近,2024,4,7.6344,8.0,6.845,0.3267
养马岛附近,2024,5,7.6646,8.0,6.8466,0.315
养马岛附近,2024,6,7.7443,8.0,6.8775,0.2641
养马岛附近,2024,7,7.8443,8.0,6.9115,0.1455
养马岛附近,2024,8,7.8804,8.0,7.2965,0.0984
养马岛附近,2024,9,7.8937,8.0,7.4895,0.0906
养马岛附近,2024,10,7.8977,8.0,7.4335,0.0884
养马岛附近,2024,11,7.8952,8.0,7.5081,0.0912
养马岛附近,2024,12,7.8817,8.0,7.2967,0.097
养马岛附近,2025,1,7.827,8.0,6.8841,0.1729
养马岛附近,2025,2,7.7177,8.0,6.9055,0.2834
养马岛附近,2025,3,7.6339,8.0,6.8895,0.327
养马岛附近,2025,4,7.6026,8.0,6.7948,0.3367
养马岛附近,2025,5,7.6358,8.0,6.8317,0.3256
养马岛附近,2025,6,7.7179,8.0,6.8422,0.2849
养马岛附近,2025,7,7.826,8.0,6.9164,0.1726
养马岛附近,2025,8,7.8771,8.0,7.1966,0.0999
养马岛附近,2025,9,7.8914,8.0,7.4317,0.0916
养马岛附近,2025,10,7.8967,8.0,7.5057,0.0891
养马岛附近,2025,11,7.8914,8.0,7.4842,0.0926
养马岛附近,2025,12,7.8773,8.0,7.1463,0.1002
