region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
四十里湾,2020,1,3.5405,4.6495,1.9125,0.5452
四十里湾,2020,2,3.9834,5.2203,2.099,0.6125
四十里湾,2020,3,4.3088,5.6355,2.2737,0.6621
四十里湾,2020,4,4.4279,5.7796,2.3467,0.6781
四十里湾,2020,5,4.3082,5.6669,2.2867,0.6609
四十里湾,2020,6,3.9847,5.2689,2.1528,0.6109
四十里湾,2020,7,3.5425,4.6457,1.8684,0.544
四十里湾,2020,8,3.0981,4.1315,1.6087,0.4793
四十里湾,2020,9,2.7761,3.6874,1.4156,0.4295
四十里湾,2020,10,2.6552,3.6192,1.3373,0.4122
四十里湾,2020,11,2.7743,3.7034,1.397,0.4284
四十里湾,2020,12,3.0995,4.0884,1.6394,0.4786
四十里湾,2021,1,3.647,4.7815,1.9289,0.5605
四十里湾,2021,2,4.1046,5.3937,2.2366,0.6297
四十里湾,2021,3,4.4376,5.8019,2.4086,0.6809
四十里湾,2021,4,4.5592,5.9048,2.4783,0.6995
四十里湾,2021,5,4.4372,5.7675,2.3976,0.6799
四十里湾,2021,6,4.104,5.3486,2.1901,0.6299
四十里湾,2021,7,3.6465,4.7933,1.9774,0.561
四十里湾,2021,8,3.1915,4.2345,1.6769,0.4924
四十里湾,2021,9,2.8576,3.8243,1.443,0.4411
四十里湾,2021,10,2.7351,3.6792,1.4461,0.4247
四十里湾,2021,11,2.858,3.8109,1.4312,0.4425
四十里湾,2021,12,3.1929,4.1621,1.6729,0.4936
四十里湾,2022,1,3.754,4.9225,2.0379,0.5776
四十里湾,2022,2,4.2231,5.5024,2.2377,0.6489
四十里湾,2022,3,4.5669,5.9148,2.4492,0.7005
四十里湾,2022,4,4.6916,6.0702,2.5281,0.7208
四十里湾,2022,5,4.5668,5.9118,2.4529,0.6999
四十里湾,2022,6,4.2238,5.5033,2.2489,0.6476
四十里湾,2022,7,3.7532,4.9435,2.0017,0.5774
四十里湾,2022,8,3.2841,4.3486,1.5437,0.5071
四十里湾,2022,9,2.9414,3.8813,1.5568,0.4547
四十里湾,2022,10,2.816,3.7204,1.4356,0.4372
四十里湾,2022,11,2.9402,3.9104,1.5142,0.4538
四十里湾,2022,12,3.2851,4.3492,1.7619,0.5057
四十里湾,2023,1,3.8601,5.0978,2.113,0.5937
四十里湾,2023,2,4.3428,5.7105,2.3645,0.6658
四十里湾,2023,3,4.6962,6.1113,2.535,0.7195
四十里湾,2023,4,4.8259,6.2525,2.652,0.7387
四十里湾,2023,5,4.6947,6.0951,2.5877,0.7194
四十里湾,2023,6,4.3429,5.7298,2.3407,0.6658
四十里湾,2023,7,3.8607,5.0708,2.1033,0.594
四十里湾,2023,8,3.3777,4.4629,1.7897,0.5201
四十里湾,2023,9,3.024,4.0011,1.5626,0.4664
四十里湾,2023,10,2.8946,3.8721,1.5492,0.4469
四十里湾,2023,11,3.0246,4.0621,1.5424,0.4664
四十里湾,2023,12,3.3785,4.4867,1.7903,0.5205
四十里湾,2024,1,3.967,5.1725,2.1433,0.61
四十里湾,2024,2,4.4618,5.8092,2.4434,0.6837
四十里湾,2024,3,4.8258,6.2833,2.6218,0.7392
四十里湾,2024,4,4.958,6.4255,2.669,0.7588
四十里湾,2024,5,4.8239,6.241,2.5918,0.7391
四十里湾,2024,6,4.4624,5.7686,2.3329,0.6842
四十里湾,2024,7,3.9652,5.225,2.1616,0.6082
四十里湾,2024,8,3.4696,4.5382,1.8345,0.5343
四十里湾,2024,9,3.1079,4.1159,1.5527,0.48
四十里湾,2024,10,2.9739,3.9624,1.5677,0.459
四十里湾,2024,11,3.1064,4.099,1.5525,0.4795
四十里湾,2024,12,3.4708,4.6182,1.7834,0.5358
四十里湾,2025,1,4.0725,5.3191,2.2014,0.625
四十里湾,2025,2,4.5822,5.9157,2.4736,0.7025
四十里湾,2025,3,4.9548,6.4302,2.7286,0.7576
四十里湾,2025,4,5.0908,6.5887,2.7584,0.7791
四十里湾,2025,5,4.9548,6.4263,2.6664,0.7595
四十里湾,2025,6,4.5814,5.9825,2.5352,0.7008
四十里湾,2025,7,4.0734,5.3434,2.1953,0.6261
四十里湾,2025,8,3.5639,4.7465,1.9484,0.5486
四十里湾,2025,9,3.1916,4.2141,1.6579,0.4921
四十里湾,2025,10,3.0534,4.0951,1.5934,0.4729
四十里湾,2025,11,3.1909,4.245,1.5993,0.493
四十里湾,2025,12,3.5632,4.7391,1.8614,0.5494
