region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
四十里湾,2020,1,7.5107,7.8731,7.199,0.0927
四十里湾,2020,2,7.5061,7.8481,7.1601,0.0914
四十里湾,2020,3,7.5037,7.8288,7.1372,0.091
四十里湾,2020,4,7.5034,7.879,7.1405,0.0907
四十里湾,2020,5,7.5037,7.8435,7.1246,0.0918
四十里湾,2020,6,7.507,7.8397,7.1986,0.0914
四十里湾,2020,7,7.5115,7.8297,7.1377,0.0918
四十里湾,2020,8,7.5174,7.8443,7.1858,0.0913
四十里湾,2020,9,7.5202,7.8921,7.1696,0.0908
四十里湾,2020,10,7.5214,7.913,7.1443,0.0918
四十里湾,2020,11,7.5204,7.9251,7.1528,0.0914
四十里湾,2020,12,7.5169,7.8563,7.1602,0.0905
四十里湾,2021,1,7.5111,7.8448,7.1499,0.091
四十里湾,2021,2,7.5054,7.8733,7.1042,0.0907
四十里湾,2021,3,7.5009,7.9328,7.1714,0.0908
四十里湾,2021,4,7.5007,7.8258,7.1485,0.091
四十里湾,2021,5,7.5024,7.9147,7.153,0.0923
四十里湾,2021,6,7.5057,7.8627,7.1906,0.091
四十里湾,2021,7,7.5121,7.879,7.1205,0.091
四十里湾,2021,8,7.5156,7.8396,7.1778,0.0907
四十里湾,2021,9,7.5199,7.8512,7.1665,0.0919
四十里湾,2021,10,7.5193,7.8907,7.1835,0.0922
四十里湾,2021,11,7.5192,7.8418,7.1295,0.0915
四十里湾,2021,12,7.5171,7.9053,7.1706,0.0906
四十里湾,2022,1,7.5099,7.8614,7.1478,0.0916
四十里湾,2022,2,7.5048,7.8424,7.1168,0.0913
四十里湾,2022,3,7.5007,7.8576,7.1561,0.0916
四十里湾,2022,4,7.5004,7.8511,7.196,0.0912
四十里湾,2022,5,7.5015,7.8408,7.1747,0.0918
四十里湾,2022,6,7.5052,7.8457,7.1721,0.091
四十里湾,2022,7,7.51,7.8242,7.1502,0.0913
四十里湾,2022,8,7.5145,7.8662,7.1756,0.0913
四十里湾,2022,9,7.5176,7.8957,7.1208,0.0915
四十里湾,2022,10,7.5193,7.8692,7.1501,0.0913
四十里湾,2022,11,7.5186,7.9119,7.1585,0.0905
四十里湾,2022,12,7.5142,7.873,7.1593,0.0919
四十里湾,2023,1,7.5101,7.8384,7.1616,0.091
四十里湾,2023,2,7.5042,7.8546,7.1682,0.0921
四十里湾,2023,3,7.5005,7.8863,7.1166,0.0909
四十里湾,2023,4,7.4984,7.9239,7.1456,0.0912
四十里湾,2023,5,7.4999,7.8126,7.1728,0.0919
四十里湾,2023,6,7.5035,7.9419,7.1723,0.0911
四十里湾,2023,7,7.5077,7.8877,7.173,0.0918
四十里湾,2023,8,7.513,7.8644,7.1019,0.0915
四十里湾,2023,9,7.5182,7.876,7.1864,0.0918
四十里湾,2023,10,7.5186,7.861,7.1448,0.0914
四十里湾,2023,11,7.5168,7.8762,7.1316,0.0913
四十里湾,2023,12,7.5136,7.8617,7.0901,0.0908
四十里湾,2024,1,7.5085,7.8395,7.1732,0.0913
四十里湾,2024,2,7.5021,7.98,7.1626,0.0917
四十里湾,2024,3,7.4981,7.8198,7.1588,0.0912
四十里湾,2024,4,7.4968,7.8637,7.0726,0.0912
四十里湾,2024,5,7.4985,7.8093,7.1909,0.0928
四十里湾,2024,6,7.5023,7.8662,7.1786,0.0913
四十里湾,2024,7,7.5067,7.8549,7.1658,0.0918
四十里湾,2024,8,7.5109,7.8548,7.153,0.0917
四十里湾,2024,9,7.5174,7.8911,7.1253,0.0911
四十里湾,2024,10,7.5179,7.8469,7.1832,0.091
四十里湾,2024,11,7.5161,7.8723,7.1639,0.0901
四十里湾,2024,12,7.5128,7.9545,7.2026,0.0915
四十里湾,2025,1,7.5074,7.866,7.1211,0.0918
四十里湾,2025,2,7.5009,7.8451,7.1389,0.0915
四十里湾,2025,3,7.4961,7.9436,7.1694,0.0915
四十里湾,2025,4,7.4965,7.8613,7.1621,0.091
四十里湾,2025,5,7.4963,7.838,7.1677,0.0909
四十里湾,2025,6,7.4995,7.8695,7.1569,0.0919
四十里湾,2025,7,7.5066,7.9118,7.1758,0.0914
四十里湾,2025,8,7.5119,7.83,7.181,0.0909
四十里湾,2025,9,7.5154,7.9034,7.1145,0.0926
四十里湾,2025,10,7.5174,7.8992,7.187,0.0909
四十里湾,2025,11,7.5144,7.8934,7.1402,0.0916
四十里湾,2025,12,7.5115,7.8516,7.1489,0.0919
