region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2020,1,2.0931,4.4971,1.4426,0.3313
烟台近岸整体,2020,2,2.3527,4.9865,1.6394,0.3708
烟台近岸整体,2020,3,2.5469,5.3922,1.705,0.3995
烟台近岸整体,2020,4,2.6163,5.5485,1.845,0.4097
烟台近岸整体,2020,5,2.5471,5.3752,1.7913,0.3987
烟台近岸整体,2020,6,2.354,5.0273,1.5975,0.3719
烟台近岸整体,2020,7,2.0936,4.5122,1.3652,0.3309
烟台近岸整体,2020,8,1.8325,3.9199,1.2113,0.2921
烟台近岸整体,2020,9,1.6398,3.5339,1.0366,0.2641
烟台近岸整体,2020,10,1.5693,3.3554,1.0197,0.2545
烟台近岸整体,2020,11,1.639,3.5326,1.0439,0.2645
烟台近岸整体,2020,12,1.8316,3.894,1.1676,0.2916
烟台近岸整体,2021,1,2.1578,4.6251,1.4838,0.3413
烟台近岸整体,2021,2,2.4254,5.1605,1.6592,0.3814
烟台近岸整体,2021,3,2.623,5.5762,1.828,0.4116
烟台近岸整体,2021,4,2.6959,5.6846,1.9239,0.4213
烟台近岸整体,2021,5,2.6231,5.5379,1.83,0.4101
烟台近岸整体,2021,6,2.4261,5.0963,1.6879,0.3815
烟台近岸整体,2021,7,2.1566,4.5779,1.429,0.3405
烟台近岸整体,2021,8,1.8882,4.0104,1.262,0.3006
烟台近岸整体,2021,9,1.6883,3.5756,0.9665,0.2735
烟台近岸整体,2021,10,1.6162,3.5321,0.9986,0.2612
烟台近岸整体,2021,11,1.6898,3.6679,1.0547,0.2731
烟台近岸整体,2021,12,1.8876,4.0234,1.26,0.2995
烟台近岸整体,2022,1,2.2202,4.7694,1.5162,0.3512
烟台近岸整体,2022,2,2.4959,5.2277,1.7443,0.3909
烟台近岸整体,2022,3,2.6995,5.7568,1.9344,0.4234
烟台近岸整体,2022,4,2.7727,5.8409,1.9254,0.4336
烟台近岸整体,2022,5,2.6991,5.7041,1.8408,0.4227
烟台近岸整体,2022,6,2.4956,5.3013,1.7663,0.3925
烟台近岸整体,2022,7,2.2178,4.7201,1.5029,0.3491
烟台近岸整体,2022,8,1.9422,4.0908,1.3066,0.3087
烟台近岸整体,2022,9,1.7377,3.7923,1.1322,0.279
烟台近岸整体,2022,10,1.6651,3.6024,1.041,0.2673
烟台近岸整体,2022,11,1.7386,3.6881,1.1506,0.2795
烟台近岸整体,2022,12,1.941,4.1532,1.3008,0.3081
烟台近岸整体,2023,1,2.2822,4.8117,1.4913,0.3591
烟台近岸整体,2023,2,2.5681,5.3714,1.7707,0.4022
烟台近岸整体,2023,3,2.775,5.8114,1.9898,0.4341
烟台近岸整体,2023,4,2.852,5.9808,2.0444,0.4446
烟台近岸整体,2023,5,2.775,5.9354,1.9856,0.433
烟台近岸整体,2023,6,2.5676,5.3649,1.8175,0.4013
烟台近岸整体,2023,7,2.2823,4.733,1.5972,0.3589
烟台近岸整体,2023,8,1.9967,4.2864,1.3575,0.317
烟台近岸整体,2023,9,1.7877,3.7528,1.1892,0.2839
烟台近岸整体,2023,10,1.7112,3.7004,1.1177,0.2749
烟台近岸整体,2023,11,1.7879,3.8326,1.1627,0.2846
烟台近岸整体,2023,12,1.9956,4.2778,1.3319,0.3176
烟台近岸整体,2024,1,2.3448,4.9591,1.6466,0.37
烟台近岸整体,2024,2,2.6367,5.63,1.815,0.4121
烟台近岸整体,2024,3,2.8518,6.0191,2.032,0.4448
烟台近岸整体,2024,4,2.9307,6.2314,2.0891,0.4566
烟台近岸整体,2024,5,2.8501,5.9367,2.0378,0.4434
烟台近岸整体,2024,6,2.6375,5.5484,1.8375,0.4125
烟台近岸整体,2024,7,2.3455,4.9947,1.6243,0.3686
烟台近岸整体,2024,8,2.052,4.4396,1.3824,0.3261
烟台近岸整体,2024,9,1.8368,3.9236,1.2162,0.2919
烟台近岸整体,2024,10,1.7584,3.7481,1.1488,0.2814
烟台近岸整体,2024,11,1.8371,3.9436,1.2251,0.2929
烟台近岸整体,2024,12,2.0521,4.3227,1.396,0.3252
烟台近岸整体,2025,1,2.4071,5.1552,1.656,0.3788
烟台近岸整体,2025,2,2.7075,5.7099,1.9217,0.4237
烟台近岸整体,2025,3,2.9279,6.1996,2.072,0.4566
烟台近岸整体,2025,4,3.0099,6.3585,2.1475,0.469
烟台近岸整体,2025,5,2.9279,6.1742,2.0895,0.456
烟台近岸整体,2025,6,2.7083,5.7256,1.8864,0.4239
烟台近岸整体,2025,7,2.4075,5.0279,1.6567,0.3777
烟台近岸整体,2025,8,2.1074,4.4838,1.3958,0.3331
烟台近岸整体,2025,9,1.8866,4.0365,1.2197,0.3013
烟台近岸整体,2025,10,1.8049,3.9137,1.201,0.289
烟台近岸整体,2025,11,1.8867,4.0753,1.2116,0.3002
烟台近岸整体,2025,12,2.1062,4.4812,1.3635,0.3339
