region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2020,1,7.7653,8.0,7.334,0.0871
烟台近岸整体,2020,2,7.7515,8.0,7.2925,0.0891
烟台近岸整体,2020,3,7.74,8.0,7.0481,0.0933
烟台近岸整体,2020,4,7.7351,8.0,7.1063,0.0953
烟台近岸整体,2020,5,7.7395,8.0,7.0378,0.0929
烟台近岸整体,2020,6,7.7509,8.0,7.1883,0.0897
烟台近岸整体,2020,7,7.7661,8.0,7.3704,0.0876
烟台近岸整体,2020,8,7.7825,8.0,7.2342,0.0874
烟台近岸整体,2020,9,7.7913,8.0,7.1471,0.0871
烟台近岸整体,2020,10,7.7922,8.0,7.1135,0.0888
烟台近岸整体,2020,11,7.7929,8.0,7.2342,0.0873
烟台近岸整体,2020,12,7.7833,8.0,7.2964,0.0869
烟台近岸整体,2021,1,7.7617,8.0,7.3383,0.0884
烟台近岸整体,2021,2,7.7459,8.0,7.2425,0.0906
烟台近岸整体,2021,3,7.7344,8.0,7.0173,0.0961
烟台近岸整体,2021,4,7.7304,8.0,7.02,0.0976
烟台近岸整体,2021,5,7.7341,8.0,7.068,0.0962
烟台近岸整体,2021,6,7.7453,8.0,7.2354,0.0896
烟台近岸整体,2021,7,7.7629,8.0,7.382,0.0875
烟台近岸整体,2021,8,7.7798,8.0,7.2986,0.0863
烟台近岸整体,2021,9,7.7903,8.0,7.23,0.0869
烟台近岸整体,2021,10,7.7919,8.0,7.2931,0.0879
烟台近岸整体,2021,11,7.7895,8.0,7.2643,0.0869
烟台近岸整体,2021,12,7.7793,8.0,7.3587,0.0874
烟台近岸整体,2022,1,7.7579,8.0,7.2456,0.088
烟台近岸整体,2022,2,7.7433,8.0,7.083,0.092
烟台近岸整体,2022,3,7.73,8.0,7.0182,0.0979
烟台近岸整体,2022,4,7.7235,8.0,7.0279,0.0995
烟台近岸整体,2022,5,7.7295,8.0,7.0091,0.0986
烟台近岸整体,2022,6,7.7437,8.0,7.217,0.0918
烟台近岸整体,2022,7,7.7581,8.0,7.2734,0.0885
烟台近岸整体,2022,8,7.7776,8.0,7.3834,0.0872
烟台近岸整体,2022,9,7.7873,8.0,7.0363,0.0876
烟台近岸整体,2022,10,7.7905,8.0,7.0997,0.0863
烟台近岸整体,2022,11,7.7889,8.0,7.1844,0.0873
烟台近岸整体,2022,12,7.7764,8.0,7.2309,0.0873
烟台近岸整体,2023,1,7.756,8.0,7.2769,0.0886
烟台近岸整体,2023,2,7.7385,8.0,7.0243,0.093
烟台近岸整体,2023,3,7.723,8.0,7.0057,0.1003
烟台近岸整体,2023,4,7.7174,8.0,7.0113,0.1019
烟台近岸整体,2023,5,7.7238,8.0,7.0276,0.1014
烟台近岸整体,2023,6,7.7371,8.0,7.0525,0.0934
烟台近岸整体,2023,7,7.7548,8.0,7.1843,0.0891
烟台近岸整体,2023,8,7.772,8.0,7.3467,0.0873
烟台近岸整体,2023,9,7.785,8.0,7.2324,0.0871
烟台近岸整体,2023,10,7.7893,8.0,7.106,0.0872
烟台近岸整体,2023,11,7.7868,8.0,7.2581,0.0881
烟台近岸整体,2023,12,7.7715,8.0,7.3712,0.0868
烟台近岸整体,2024,1,7.7517,8.0,7.2345,0.0886
烟台近岸整体,2024,2,7.7336,8.0,7.0425,0.0967
烟台近岸整体,2024,3,7.7169,8.0,7.0117,0.1025
烟台近岸整体,2024,4,7.7113,8.0,7.0098,0.1047
烟台近岸整体,2024,5,7.7183,8.0,7.0076,0.1027
烟台近岸整体,2024,6,7.7326,8.0,7.0862,0.0954
烟台近岸整体,2024,7,7.7512,8.0,7.1877,0.0892
烟台近岸整体,2024,8,7.7691,8.0,7.3451,0.0873
烟台近岸整体,2024,9,7.7835,8.0,7.2484,0.0878
烟台近岸整体,2024,10,7.7863,8.0,7.1513,0.0869
烟台近岸整体,2024,11,7.7834,8.0,7.1898,0.0874
烟台近岸整体,2024,12,7.7698,8.0,7.3354,0.0864
烟台近岸整体,2025,1,7.7482,8.0,7.1433,0.0909
烟台近岸整体,2025,2,7.7286,8.0,7.0751,0.0978
烟台近岸整体,2025,3,7.7121,8.0,6.9529,0.1055
烟台近岸整体,2025,4,7.7029,8.0,7.0071,0.1068
烟台近岸整体,2025,5,7.7116,8.0,6.9941,0.105
烟台近岸整体,2025,6,7.7288,8.0,7.0881,0.0974
烟台近岸整体,2025,7,7.7481,8.0,7.1359,0.0908
烟台近岸整体,2025,8,7.7647,8.0,7.3114,0.0875
烟台近岸整体,2025,9,7.7794,8.0,7.3038,0.0879
烟台近岸整体,2025,10,7.785,8.0,7.2458,0.0878
烟台近岸整体,2025,11,7.7808,8.0,7.3976,0.087
烟台近岸整体,2025,12,7.7653,8.0,7.2964,0.0876
