region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2020,1,7.6913,8.0,7.2623,0.1091
烟台近岸整体,2020,2,7.6558,8.0,7.2762,0.1054
烟台近岸整体,2020,3,7.6339,8.0,7.2872,0.1015
烟台近岸整体,2020,4,7.6249,8.0,7.291,0.1003
烟台近岸整体,2020,5,7.6324,8.0,7.274,0.1016
烟台近岸整体,2020,6,7.6547,8.0,7.2656,0.105
烟台近岸整体,2020,7,7.6927,8.0,7.3537,0.1085
烟台近岸整体,2020,8,7.7325,8.0,7.3066,0.113
烟台近岸整体,2020,9,7.7672,8.0,7.3109,0.1142
烟台近岸整体,2020,10,7.7805,8.0,7.3842,0.1137
烟台近岸整体,2020,11,7.7681,8.0,7.3215,0.114
烟台近岸整体,2020,12,7.7328,8.0,7.3363,0.1139
烟台近岸整体,2021,1,7.6831,8.0,7.2783,0.1095
烟台近岸整体,2021,2,7.646,8.0,7.2541,0.1046
烟台近岸整体,2021,3,7.625,8.0,7.2707,0.0991
烟台近岸整体,2021,4,7.6167,8.0,7.2655,0.098
烟台近岸整体,2021,5,7.6247,8.0,7.3088,0.0998
烟台近岸整体,2021,6,7.6466,8.0,7.2698,0.1027
烟台近岸整体,2021,7,7.682,8.0,7.3207,0.1089
烟台近岸整体,2021,8,7.7253,8.0,7.3125,0.1125
烟台近岸整体,2021,9,7.7599,8.0,7.3289,0.1145
烟台近岸整体,2021,10,7.7712,8.0,7.3882,0.1135
烟台近岸整体,2021,11,7.7567,8.0,7.304,0.1159
烟台近岸整体,2021,12,7.7243,8.0,7.2912,0.1129
烟台近岸整体,2022,1,7.6733,8.0,7.3232,0.1078
烟台近岸整体,2022,2,7.639,8.0,7.293,0.1025
烟台近岸整体,2022,3,7.6172,8.0,7.2697,0.098
烟台近岸整体,2022,4,7.6086,7.9728,7.2897,0.0972
烟台近岸整体,2022,5,7.6162,8.0,7.261,0.0987
烟台近岸整体,2022,6,7.6378,8.0,7.2772,0.1025
烟台近岸整体,2022,7,7.6738,8.0,7.3248,0.1074
烟台近岸整体,2022,8,7.7153,8.0,7.2897,0.1136
烟台近岸整体,2022,9,7.7495,8.0,7.3476,0.114
烟台近岸整体,2022,10,7.7607,8.0,7.3182,0.1143
烟台近岸整体,2022,11,7.75,8.0,7.3378,0.114
烟台近岸整体,2022,12,7.7151,8.0,7.3406,0.1114
烟台近岸整体,2023,1,7.6632,8.0,7.2632,0.1067
烟台近岸整体,2023,2,7.6291,8.0,7.2841,0.1008
烟台近岸整体,2023,3,7.609,8.0,7.2654,0.0978
烟台近岸整体,2023,4,7.6014,8.0,7.2848,0.0957
烟台近岸整体,2023,5,7.6091,8.0,7.2599,0.0963
烟台近岸整体,2023,6,7.6302,8.0,7.1913,0.1027
烟台近岸整体,2023,7,7.665,8.0,7.2999,0.1063
烟台近岸整体,2023,8,7.7059,8.0,7.2573,0.1112
烟台近岸整体,2023,9,7.7427,8.0,7.3436,0.1124
烟台近岸整体,2023,10,7.7544,8.0,7.3624,0.1144
烟台近岸整体,2023,11,7.7412,8.0,7.2982,0.1131
烟台近岸整体,2023,12,7.7074,8.0,7.307,0.1118
烟台近岸整体,2024,1,7.6565,8.0,7.3139,0.1052
烟台近岸整体,2024,2,7.6224,8.0,7.2296,0.0983
烟台近岸整体,2024,3,7.6023,7.9717,7.291,0.0959
烟台近岸整体,2024,4,7.5943,8.0,7.1828,0.0942
烟台近岸整体,2024,5,7.6038,7.9908,7.261,0.0957
烟台近岸整体,2024,6,7.6221,8.0,7.29,0.098
烟台近岸整体,2024,7,7.657,8.0,7.2341,0.1069
烟台近岸整体,2024,8,7.6989,8.0,7.2557,0.1117
烟台近岸整体,2024,9,7.7339,8.0,7.2972,0.113
烟台近岸整体,2024,10,7.7459,8.0,7.3424,0.1136
烟台近岸整体,2024,11,7.7329,8.0,7.2822,0.1126
烟台近岸整体,2024,12,7.6972,8.0,7.326,0.1105
烟台近岸整体,2025,1,7.6475,8.0,7.1931,0.1048
烟台近岸整体,2025,2,7.6149,8.0,7.2475,0.0976
烟台近岸整体,2025,3,7.5961,8.0,7.2162,0.0936
烟台近岸整体,2025,4,7.5891,7.9538,7.2282,0.093
烟台近岸整体,2025,5,7.5956,8.0,7.2652,0.0937
烟台近岸整体,2025,6,7.6148,8.0,7.2347,0.0982
烟台近岸整体,2025,7,7.6471,8.0,7.3057,0.1042
烟台近岸整体,2025,8,7.6889,8.0,7.234,0.1104
烟台近岸整体,2025,9,7.7249,8.0,7.3316,0.1139
烟台近岸整体,2025,10,7.7392,8.0,7.3573,0.1141
烟台近岸整体,2025,11,7.7238,8.0,7.2896,0.1132
烟台近岸整体,2025,12,7.6896,8.0,7.2646,0.11
