region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2020,1,7.6975,8.0,7.2774,0.0922
烟台近岸整体,2020,2,7.6919,8.0,7.3436,0.0947
烟台近岸整体,2020,3,7.6906,8.0,7.2345,0.1007
烟台近岸整体,2020,4,7.6885,8.0,7.1869,0.1029
烟台近岸整体,2020,5,7.6898,8.0,7.2403,0.1003
烟台近岸整体,2020,6,7.6934,8.0,7.3376,0.0949
烟台近岸整体,2020,7,7.6972,8.0,7.3253,0.092
烟台近岸整体,2020,8,7.7021,8.0,7.3042,0.0927
烟台近岸整体,2020,9,7.7063,8.0,7.24,0.0963
烟台近岸整体,2020,10,7.7071,8.0,7.2458,0.0989
烟台近岸整体,2020,11,7.7055,8.0,7.1838,0.0954
烟台近岸整体,2020,12,7.7023,8.0,7.2621,0.0927
烟台近岸整体,2021,1,7.6958,8.0,7.3541,0.0925
烟台近岸整体,2021,2,7.6908,8.0,7.2778,0.0972
烟台近岸整体,2021,3,7.6891,8.0,7.2384,0.1025
烟台近岸整体,2021,4,7.6898,8.0,7.1094,0.1055
烟台近岸整体,2021,5,7.69,8.0,7.2003,0.101
烟台近岸整体,2021,6,7.6906,8.0,7.3037,0.0971
烟台近岸整体,2021,7,7.6958,8.0,7.2654,0.0942
烟台近岸整体,2021,8,7.6997,8.0,7.285,0.0933
烟台近岸整体,2021,9,7.7048,8.0,7.2662,0.0947
烟台近岸整体,2021,10,7.7068,8.0,7.1897,0.0961
烟台近岸整体,2021,11,7.705,8.0,7.1994,0.0946
烟台近岸整体,2021,12,7.7008,8.0,7.2654,0.0935
烟台近岸整体,2022,1,7.6936,8.0,7.3027,0.0942
烟台近岸整体,2022,2,7.6897,8.0,7.2945,0.0987
烟台近岸整体,2022,3,7.6909,8.0,7.0019,0.1051
烟台近岸整体,2022,4,7.6902,8.0,7.1965,0.1076
烟台近岸整体,2022,5,7.6897,8.0,7.0722,0.1052
烟台近岸整体,2022,6,7.6904,8.0,7.2072,0.0982
烟台近岸整体,2022,7,7.6949,8.0,7.2892,0.0935
烟台近岸整体,2022,8,7.7001,8.0,7.2631,0.0932
烟台近岸整体,2022,9,7.7041,8.0,7.2636,0.0946
烟台近岸整体,2022,10,7.7053,8.0,7.2594,0.0947
烟台近岸整体,2022,11,7.7034,8.0,7.2174,0.0944
烟台近岸整体,2022,12,7.7007,8.0,7.34,0.093
烟台近岸整体,2023,1,7.6925,8.0,7.3404,0.094
烟台近岸整体,2023,2,7.6882,8.0,7.2222,0.1008
烟台近岸整体,2023,3,7.6913,8.0,7.189,0.1075
烟台近岸整体,2023,4,7.6909,8.0,7.1272,0.1107
烟台近岸整体,2023,5,7.69,8.0,7.1345,0.1069
烟台近岸整体,2023,6,7.6899,8.0,7.2767,0.0999
烟台近岸整体,2023,7,7.694,8.0,7.3206,0.0946
烟台近岸整体,2023,8,7.6988,8.0,7.2443,0.0929
烟台近岸整体,2023,9,7.7024,8.0,7.281,0.0933
烟台近岸整体,2023,10,7.7042,8.0,7.2471,0.0936
烟台近岸整体,2023,11,7.7019,8.0,7.1989,0.0943
烟台近岸整体,2023,12,7.6992,8.0,7.2934,0.0933
烟台近岸整体,2024,1,7.6924,8.0,7.3444,0.0948
烟台近岸整体,2024,2,7.6902,8.0,7.2238,0.1027
烟台近岸整体,2024,3,7.6904,8.0,7.2004,0.1116
烟台近岸整体,2024,4,7.6928,8.0,7.1657,0.1141
烟台近岸整体,2024,5,7.6894,8.0,7.1501,0.111
烟台近岸整体,2024,6,7.6898,8.0,7.2193,0.1036
烟台近岸整体,2024,7,7.6929,8.0,7.3087,0.0958
烟台近岸整体,2024,8,7.6968,8.0,7.3163,0.0936
烟台近岸整体,2024,9,7.7019,8.0,7.2596,0.0927
烟台近岸整体,2024,10,7.7024,8.0,7.2361,0.0935
烟台近岸整体,2024,11,7.7033,8.0,7.2512,0.0931
烟台近岸整体,2024,12,7.698,8.0,7.2488,0.0928
烟台近岸整体,2025,1,7.6913,8.0,7.2957,0.097
烟台近岸整体,2025,2,7.6908,8.0,7.143,0.1057
烟台近岸整体,2025,3,7.6911,8.0,7.1717,0.1151
烟台近岸整体,2025,4,7.6951,8.0,7.1447,0.1188
烟台近岸整体,2025,5,7.694,8.0,7.1831,0.1141
烟台近岸整体,2025,6,7.6904,8.0,7.107,0.1054
烟台近岸整体,2025,7,7.6907,8.0,7.2709,0.0969
烟台近岸整体,2025,8,7.696,8.0,7.2719,0.0928
烟台近岸整体,2025,9,7.7008,8.0,7.2608,0.0931
烟台近岸整体,2025,10,7.7031,8.0,7.2083,0.0935
烟台近岸整体,2025,11,7.7005,8.0,7.3068,0.0925
烟台近岸整体,2025,12,7.6974,8.0,7.3314,0.0939
