region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2020,1,7.5266,7.9025,7.1049,0.0915
烟台近岸整体,2020,2,7.5259,7.9032,7.1556,0.092
烟台近岸整体,2020,3,7.5232,7.8624,7.1537,0.0916
烟台近岸整体,2020,4,7.5215,7.8455,7.1701,0.0908
烟台近岸整体,2020,5,7.521,7.939,7.1525,0.0909
烟台近岸整体,2020,6,7.5236,7.8867,7.1648,0.0906
烟台近岸整体,2020,7,7.5278,7.8816,7.1795,0.0902
烟台近岸整体,2020,8,7.5304,7.9167,7.1454,0.092
烟台近岸整体,2020,9,7.5307,7.8556,7.1891,0.0913
烟台近岸整体,2020,10,7.5316,7.8936,7.192,0.0918
烟台近岸整体,2020,11,7.5335,7.8582,7.1693,0.0914
烟台近岸整体,2020,12,7.5306,7.8785,7.1599,0.0914
烟台近岸整体,2021,1,7.5269,7.8734,7.1902,0.0915
烟台近岸整体,2021,2,7.524,7.8624,7.1525,0.0916
烟台近岸整体,2021,3,7.5222,7.8893,7.2026,0.091
烟台近岸整体,2021,4,7.5209,7.8751,7.1635,0.091
烟台近岸整体,2021,5,7.5224,7.876,7.1604,0.0911
烟台近岸整体,2021,6,7.5239,7.9413,7.1739,0.0909
烟台近岸整体,2021,7,7.5274,7.8692,7.1649,0.0913
烟台近岸整体,2021,8,7.5288,7.8826,7.1614,0.0913
烟台近岸整体,2021,9,7.5309,7.914,7.176,0.0914
烟台近岸整体,2021,10,7.5319,7.8398,7.209,0.0908
烟台近岸整体,2021,11,7.5329,7.8933,7.1716,0.0913
烟台近岸整体,2021,12,7.5286,7.8664,7.172,0.0904
烟台近岸整体,2022,1,7.5265,7.8919,7.1586,0.0917
烟台近岸整体,2022,2,7.5233,7.8728,7.1618,0.0906
烟台近岸整体,2022,3,7.5207,7.8743,7.1512,0.0918
烟台近岸整体,2022,4,7.5208,7.8876,7.1829,0.0928
烟台近岸整体,2022,5,7.5202,7.8487,7.1882,0.0913
烟台近岸整体,2022,6,7.5215,7.8917,7.1567,0.0911
烟台近岸整体,2022,7,7.5253,7.8741,7.2008,0.0907
烟台近岸整体,2022,8,7.5271,7.889,7.2045,0.0918
烟台近岸整体,2022,9,7.5332,7.8539,7.2292,0.0913
烟台近岸整体,2022,10,7.5323,7.9239,7.1015,0.0922
烟台近岸整体,2022,11,7.5308,7.8747,7.098,0.0908
烟台近岸整体,2022,12,7.5287,7.8827,7.1524,0.0901
烟台近岸整体,2023,1,7.5255,7.8759,7.1682,0.091
烟台近岸整体,2023,2,7.5226,7.8404,7.1699,0.0914
烟台近岸整体,2023,3,7.5193,7.8944,7.1681,0.0914
烟台近岸整体,2023,4,7.5208,7.8243,7.1735,0.0913
烟台近岸整体,2023,5,7.5204,7.8578,7.1728,0.0913
烟台近岸整体,2023,6,7.5224,7.8653,7.1868,0.0909
烟台近岸整体,2023,7,7.5255,7.9612,7.1899,0.0899
烟台近岸整体,2023,8,7.5282,7.889,7.2039,0.0914
烟台近岸整体,2023,9,7.5311,7.8659,7.184,0.0911
烟台近岸整体,2023,10,7.5308,7.8849,7.1221,0.0906
烟台近岸整体,2023,11,7.5302,8.0,7.1621,0.0922
烟台近岸整体,2023,12,7.529,7.9021,7.1743,0.0915
烟台近岸整体,2024,1,7.5237,7.8694,7.1728,0.092
烟台近岸整体,2024,2,7.5211,7.8469,7.1773,0.0914
烟台近岸整体,2024,3,7.52,7.9173,7.1733,0.0907
烟台近岸整体,2024,4,7.5184,7.9128,7.1859,0.0911
烟台近岸整体,2024,5,7.5197,7.9053,7.1552,0.0916
烟台近岸整体,2024,6,7.5233,7.889,7.1423,0.092
烟台近岸整体,2024,7,7.5238,7.9052,7.1726,0.0923
烟台近岸整体,2024,8,7.5272,7.8426,7.1716,0.091
烟台近岸整体,2024,9,7.53,7.885,7.1338,0.0908
烟台近岸整体,2024,10,7.5303,7.8946,7.16,0.0909
烟台近岸整体,2024,11,7.5288,7.8971,7.1348,0.0911
烟台近岸整体,2024,12,7.5259,7.9006,7.1183,0.0916
烟台近岸整体,2025,1,7.5232,7.943,7.1897,0.0918
烟台近岸整体,2025,2,7.5211,7.8663,7.1116,0.0915
烟台近岸整体,2025,3,7.5185,7.8718,7.1291,0.0928
烟台近岸整体,2025,4,7.5182,7.8348,7.1866,0.0917
烟台近岸整体,2025,5,7.5184,7.8544,7.1873,0.0921
烟台近岸整体,2025,6,7.5201,7.9002,7.1754,0.091
烟台近岸整体,2025,7,7.5245,7.9616,7.2005,0.0912
烟台近岸整体,2025,8,7.5274,7.8879,7.2005,0.0914
烟台近岸整体,2025,9,7.529,7.876,7.1455,0.0912
烟台近岸整体,2025,10,7.5287,7.9349,7.1999,0.0915
烟台近岸整体,2025,11,7.5287,7.9025,7.1877,0.0909
烟台近岸整体,2025,12,7.5287,7.9564,7.1386,0.0908
