region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2020,1,7.6972,8.0,6.7789,0.1556
烟台近岸整体,2020,2,7.6507,8.0,6.7463,0.1909
烟台近岸整体,2020,3,7.6072,8.0,6.7091,0.2174
烟台近岸整体,2020,4,7.5914,8.0,6.7835,0.2264
烟台近岸整体,2020,5,7.6079,8.0,6.765,0.2174
烟台近岸整体,2020,6,7.6511,8.0,6.7784,0.1921
烟台近岸整体,2020,7,7.6983,8.0,6.7551,0.1565
烟台近岸整体,2020,8,7.728,8.0,6.8642,0.1235
烟台近岸整体,2020,9,7.7418,8.0,6.2775,0.1053
烟台近岸整体,2020,10,7.746,8.0,6.168,0.1026
烟台近岸整体,2020,11,7.7421,8.0,6.2244,0.1067
烟台近岸整体,2020,12,7.7273,8.0,6.7636,0.1234
烟台近岸整体,2021,1,7.6878,8.0,6.7998,0.1648
烟台近岸整体,2021,2,7.6342,8.0,6.7597,0.2014
烟台近岸整体,2021,3,7.5899,8.0,6.8147,0.226
烟台近岸整体,2021,4,7.5712,8.0,6.7692,0.2346
烟台近岸整体,2021,5,7.5874,8.0,6.7241,0.2262
烟台近岸整体,2021,6,7.6346,8.0,6.7742,0.2012
烟台近岸整体,2021,7,7.6872,8.0,6.7927,0.1633
烟台近岸整体,2021,8,7.721,8.0,6.8235,0.1302
烟台近岸整体,2021,9,7.7379,8.0,6.3057,0.1123
烟台近岸整体,2021,10,7.7428,8.0,6.2654,0.1047
烟台近岸整体,2021,11,7.7383,8.0,6.1656,0.1116
烟台近岸整体,2021,12,7.7216,8.0,6.8098,0.1297
烟台近岸整体,2022,1,7.6765,8.0,6.7574,0.1737
烟台近岸整体,2022,2,7.62,8.0,6.7694,0.2093
烟台近岸整体,2022,3,7.5683,8.0,6.7629,0.2358
烟台近岸整体,2022,4,7.5502,8.0,6.7706,0.2419
烟台近岸整体,2022,5,7.5703,8.0,6.7331,0.2364
烟台近岸整体,2022,6,7.6204,8.0,6.7974,0.2085
烟台近岸整体,2022,7,7.6768,8.0,6.7998,0.1741
烟台近岸整体,2022,8,7.7165,8.0,6.8357,0.1378
烟台近岸整体,2022,9,7.7353,8.0,6.7065,0.1149
烟台近岸整体,2022,10,7.7394,8.0,6.1481,0.1095
烟台近岸整体,2022,11,7.7344,8.0,6.8245,0.115
烟台近岸整体,2022,12,7.7163,8.0,6.8202,0.1373
烟台近岸整体,2023,1,7.664,8.0,6.7888,0.1816
烟台近岸整体,2023,2,7.603,8.0,6.7833,0.2186
烟台近岸整体,2023,3,7.5502,8.0,6.7559,0.2431
烟台近岸整体,2023,4,7.5292,8.0,6.7705,0.2526
烟台近岸整体,2023,5,7.5505,8.0,6.7349,0.2433
烟台近岸整体,2023,6,7.6046,8.0,6.7673,0.22
烟台近岸整体,2023,7,7.665,8.0,6.7486,0.1818
烟台近岸整体,2023,8,7.7103,8.0,6.7897,0.1436
烟台近岸整体,2023,9,7.7305,8.0,6.7948,0.1198
烟台近岸整体,2023,10,7.735,8.0,6.6723,0.1128
烟台近岸整体,2023,11,7.7315,8.0,6.7177,0.1196
烟台近岸整体,2023,12,7.7094,8.0,6.8276,0.1434
烟台近岸整体,2024,1,7.6526,8.0,6.7976,0.19
烟台近岸整体,2024,2,7.587,8.0,6.7471,0.2282
烟台近岸整体,2024,3,7.5287,8.0,6.7675,0.2513
烟台近岸整体,2024,4,7.5065,8.0,6.7811,0.2587
烟台近岸整体,2024,5,7.5295,8.0,6.7515,0.251
烟台近岸整体,2024,6,7.5854,8.0,6.7811,0.2262
烟台近岸整体,2024,7,7.6528,8.0,6.7661,0.1903
烟台近岸整体,2024,8,7.7035,8.0,6.8127,0.1499
烟台近岸整体,2024,9,7.7263,8.0,6.8414,0.1245
烟台近岸整体,2024,10,7.7335,8.0,6.6557,0.1176
烟台近岸整体,2024,11,7.7274,8.0,6.7667,0.1236
烟台近岸整体,2024,12,7.704,8.0,6.7321,0.1502
烟台近岸整体,2025,1,7.6391,8.0,6.7977,0.1993
烟台近岸整体,2025,2,7.5669,8.0,6.7106,0.2348
烟台近岸整体,2025,3,7.5069,8.0,6.7348,0.2585
烟台近岸整体,2025,4,7.4829,8.0,6.7763,0.2647
烟台近岸整体,2025,5,7.5071,8.0,6.7904,0.2585
烟台近岸整体,2025,6,7.5682,8.0,6.7705,0.236
烟台近岸整体,2025,7,7.6398,8.0,6.7272,0.1987
烟台近岸整体,2025,8,7.6954,8.0,6.8194,0.1572
烟台近岸整体,2025,9,7.7223,8.0,6.7736,0.1294
烟台近岸整体,2025,10,7.7299,8.0,6.8322,0.121
烟台近岸整体,2025,11,7.7217,8.0,6.8198,0.1294
烟台近岸整体,2025,12,7.6954,8.0,6.787,0.1582
