region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2020,1,7.9108,8.0,7.5433,0.0758
烟台近岸整体,2020,2,7.9072,8.0,7.0384,0.0839
烟台近岸整体,2020,3,7.9016,8.0,6.963,0.0969
烟台近岸整体,2020,4,7.8975,8.0,6.9994,0.1011
烟台近岸整体,2020,5,7.901,8.0,6.969,0.0968
烟台近岸整体,2020,6,7.9083,8.0,7.0969,0.0838
烟台近岸整体,2020,7,7.9105,8.0,7.53,0.075
烟台近岸整体,2020,8,7.9073,8.0,7.5445,0.0747
烟台近岸整体,2020,9,7.9044,8.0,6.7158,0.0749
烟台近岸整体,2020,10,7.9034,8.0,6.6551,0.0757
烟台近岸整体,2020,11,7.904,8.0,6.7009,0.0747
烟台近岸整体,2020,12,7.9075,8.0,7.5811,0.074
烟台近岸整体,2021,1,7.9096,8.0,7.5878,0.0771
烟台近岸整体,2021,2,7.9049,8.0,7.0069,0.0882
烟台近岸整体,2021,3,7.8977,8.0,7.0011,0.1011
烟台近岸整体,2021,4,7.8946,8.0,6.9421,0.1062
烟台近岸整体,2021,5,7.8988,8.0,6.965,0.101
烟台近岸整体,2021,6,7.9045,8.0,7.0428,0.0886
烟台近岸整体,2021,7,7.9096,8.0,7.5228,0.0768
烟台近岸整体,2021,8,7.9069,8.0,7.5304,0.0751
烟台近岸整体,2021,9,7.9051,8.0,6.7826,0.075
烟台近岸整体,2021,10,7.9047,8.0,6.5953,0.0747
烟台近岸整体,2021,11,7.9051,8.0,6.5469,0.0752
烟台近岸整体,2021,12,7.9079,8.0,7.4758,0.0754
烟台近岸整体,2022,1,7.9084,8.0,7.2811,0.0788
烟台近岸整体,2022,2,7.9024,8.0,7.0163,0.0933
烟台近岸整体,2022,3,7.8952,8.0,6.9719,0.1055
烟台近岸整体,2022,4,7.891,8.0,6.9648,0.1115
烟台近岸整体,2022,5,7.8939,8.0,6.9069,0.1074
烟台近岸整体,2022,6,7.9031,8.0,6.9524,0.0928
烟台近岸整体,2022,7,7.9095,8.0,7.2597,0.0788
烟台近岸整体,2022,8,7.909,8.0,7.5541,0.0751
烟台近岸整体,2022,9,7.9062,8.0,6.6282,0.0753
烟台近岸整体,2022,10,7.9045,8.0,6.7568,0.0746
烟台近岸整体,2022,11,7.9054,8.0,6.6426,0.0758
烟台近岸整体,2022,12,7.9093,8.0,7.5305,0.0749
烟台近岸整体,2023,1,7.9078,8.0,7.0913,0.0804
烟台近岸整体,2023,2,7.8992,8.0,6.9651,0.0981
烟台近岸整体,2023,3,7.8919,8.0,6.9774,0.1106
烟台近岸整体,2023,4,7.8865,8.0,6.9538,0.1151
烟台近岸整体,2023,5,7.891,8.0,6.9443,0.1119
烟台近岸整体,2023,6,7.9006,8.0,7.0279,0.0979
烟台近岸整体,2023,7,7.9092,8.0,7.012,0.08
烟台近岸整体,2023,8,7.9091,8.0,7.5153,0.0751
烟台近岸整体,2023,9,7.9062,8.0,7.5708,0.0741
烟台近岸整体,2023,10,7.9053,8.0,6.5897,0.0746
烟台近岸整体,2023,11,7.9054,8.0,7.5665,0.0751
烟台近岸整体,2023,12,7.9094,8.0,7.5011,0.0752
烟台近岸整体,2024,1,7.9073,8.0,7.0698,0.0836
烟台近岸整体,2024,2,7.8983,8.0,6.9625,0.1019
烟台近岸整体,2024,3,7.8865,8.0,6.9088,0.1162
烟台近岸整体,2024,4,7.8827,8.0,6.9014,0.1203
烟台近岸整体,2024,5,7.8856,8.0,6.9788,0.1158
烟台近岸整体,2024,6,7.8978,8.0,6.9771,0.1023
烟台近岸整体,2024,7,7.9075,8.0,7.0218,0.0835
烟台近岸整体,2024,8,7.9087,8.0,7.5253,0.0767
烟台近岸整体,2024,9,7.9077,8.0,7.5755,0.0737
烟台近岸整体,2024,10,7.9052,8.0,7.5515,0.0743
烟台近岸整体,2024,11,7.9085,8.0,7.5493,0.0744
烟台近岸整体,2024,12,7.9099,8.0,7.5504,0.0758
烟台近岸整体,2025,1,7.9054,8.0,6.9494,0.088
烟台近岸整体,2025,2,7.8946,8.0,6.9677,0.1074
烟台近岸整体,2025,3,7.881,8.0,6.8934,0.1207
烟台近岸整体,2025,4,7.8785,8.0,6.8502,0.1247
烟台近岸整体,2025,5,7.8836,8.0,6.9191,0.1199
烟台近岸整体,2025,6,7.8943,8.0,6.9538,0.1071
烟台近岸整体,2025,7,7.9051,8.0,6.9499,0.0874
烟台近岸整体,2025,8,7.9094,8.0,7.5616,0.0761
烟台近岸整体,2025,9,7.9081,8.0,7.5278,0.0744
烟台近岸整体,2025,10,7.9073,8.0,7.5609,0.075
烟台近岸整体,2025,11,7.9079,8.0,7.4841,0.0741
烟台近岸整体,2025,12,7.9106,8.0,7.5232,0.0763
