region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
芝罘湾,2020,1,3.8845,4.7932,2.2805,0.4647
芝罘湾,2020,2,4.3724,5.3878,2.5788,0.5226
芝罘湾,2020,3,4.7274,5.7693,2.8398,0.5631
芝罘湾,2020,4,4.8556,5.9389,2.8972,0.5774
芝罘湾,2020,5,4.7263,5.826,2.7936,0.5634
芝罘湾,2020,6,4.3711,5.3249,2.5956,0.5216
芝罘湾,2020,7,3.8862,4.7888,2.312,0.4641
芝罘湾,2020,8,3.3999,4.3309,1.9456,0.4083
芝罘湾,2020,9,3.0445,3.7739,1.7249,0.3685
芝罘湾,2020,10,2.9146,3.6293,1.6968,0.3526
芝罘湾,2020,11,3.0455,3.7505,1.6838,0.3693
芝罘湾,2020,12,3.3997,4.2074,1.9989,0.4094
芝罘湾,2021,1,4.0025,4.9401,2.419,0.4795
芝罘湾,2021,2,4.5019,5.5112,2.6395,0.5371
芝罘湾,2021,3,4.8699,5.9626,2.8868,0.5802
芝罘湾,2021,4,5.0021,6.1004,2.9783,0.5957
芝罘湾,2021,5,4.8705,5.9686,2.9571,0.5793
芝罘湾,2021,6,4.5013,5.4959,2.6748,0.5382
芝罘湾,2021,7,4.0007,4.9111,2.3262,0.4787
芝罘湾,2021,8,3.5015,4.3141,2.0107,0.4197
芝罘湾,2021,9,3.1359,3.9773,1.7954,0.3798
芝罘湾,2021,10,3.0014,3.7367,1.7178,0.3643
芝罘湾,2021,11,3.1364,3.8898,1.8298,0.3791
芝罘湾,2021,12,3.5021,4.322,2.0732,0.4216
芝罘湾,2022,1,4.1182,5.0451,2.4185,0.4928
芝罘湾,2022,2,4.6336,5.6779,2.7653,0.5531
芝罘湾,2022,3,5.0097,6.0986,3.0192,0.5964
芝罘湾,2022,4,5.1483,6.2507,3.075,0.6117
芝罘湾,2022,5,5.0107,6.0774,3.033,0.5963
芝罘湾,2022,6,4.6342,5.6414,2.7712,0.552
芝罘湾,2022,7,4.1169,5.0277,2.3427,0.4924
芝罘湾,2022,8,3.6033,4.43,2.0998,0.4325
芝罘湾,2022,9,3.2277,3.9853,1.8328,0.3884
芝罘湾,2022,10,3.0897,3.8105,1.7322,0.3725
芝罘湾,2022,11,3.2285,3.9839,1.8197,0.3897
芝罘湾,2022,12,3.6048,4.443,2.1657,0.4325
芝罘湾,2023,1,4.2363,5.1629,2.455,0.5053
芝罘湾,2023,2,4.7649,5.8041,2.8325,0.5673
芝罘湾,2023,3,5.1524,6.2901,3.0796,0.6129
芝罘湾,2023,4,5.2947,6.4115,2.9411,0.6294
芝罘湾,2023,5,5.1517,6.2791,3.0594,0.6115
芝罘湾,2023,6,4.7644,5.812,2.7684,0.5678
芝罘湾,2023,7,4.235,5.1849,2.4586,0.5054
芝罘湾,2023,8,3.706,4.5567,2.1462,0.446
芝罘湾,2023,9,3.3178,4.1407,1.9298,0.3982
芝罘湾,2023,10,3.1766,3.9613,1.8267,0.3832
芝罘湾,2023,11,3.3176,4.099,1.8959,0.399
芝罘湾,2023,12,3.7069,4.5515,2.1356,0.4446
芝罘湾,2024,1,4.3516,5.2917,2.5419,0.5186
芝罘湾,2024,2,4.8964,5.9242,2.9063,0.584
芝罘湾,2024,3,5.2931,6.4312,3.1336,0.6298
芝罘湾,2024,4,5.4398,6.6477,3.2606,0.6463
芝罘湾,2024,5,5.2948,6.3957,3.1978,0.6285
芝罘湾,2024,6,4.8951,5.9985,2.9423,0.584
芝罘湾,2024,7,4.3525,5.3114,2.5187,0.5196
芝罘湾,2024,8,3.8083,4.6929,2.2188,0.4557
芝罘湾,2024,9,3.409,4.1999,2.0234,0.4103
芝罘湾,2024,10,3.2626,4.0609,1.8944,0.3933
芝罘湾,2024,11,3.4092,4.2306,2.0081,0.4095
芝罘湾,2024,12,3.8076,4.6768,2.2227,0.4561
芝罘湾,2025,1,4.4686,5.4616,2.5803,0.534
芝罘湾,2025,2,5.0271,6.1145,2.9515,0.5988
芝罘湾,2025,3,5.4351,6.5962,3.2664,0.6471
芝罘湾,2025,4,5.5856,6.708,3.3811,0.6641
芝罘湾,2025,5,5.4349,6.5825,3.2308,0.6463
芝罘湾,2025,6,5.027,6.0723,2.9849,0.5992
芝罘湾,2025,7,4.4683,5.4619,2.6592,0.5332
芝罘湾,2025,8,3.9082,4.8391,2.3109,0.4697
芝罘湾,2025,9,3.5021,4.298,2.0472,0.4211
芝罘湾,2025,10,3.3508,4.1166,1.9037,0.4025
芝罘湾,2025,11,3.5014,4.3053,2.0456,0.4214
芝罘湾,2025,12,3.9089,4.8256,2.3089,0.4666
