region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
芝罘湾,2020,1,7.6161,7.9859,7.0703,0.1087
芝罘湾,2020,2,7.531,7.9586,7.023,0.1397
芝罘湾,2020,3,7.4447,7.9709,6.9425,0.1704
芝罘湾,2020,4,7.4113,7.9907,6.9221,0.177
芝罘湾,2020,5,7.4456,7.9709,6.9257,0.1697
芝罘湾,2020,6,7.5301,7.9957,7.0027,0.1407
芝罘湾,2020,7,7.6159,8.0,7.1383,0.1097
芝罘湾,2020,8,7.6682,8.0,7.2028,0.1
芝罘湾,2020,9,7.7032,8.0,7.2975,0.0963
芝罘湾,2020,10,7.7149,8.0,7.3011,0.0935
芝罘湾,2020,11,7.7029,8.0,7.3338,0.0963
芝罘湾,2020,12,7.6683,8.0,7.2476,0.1011
芝罘湾,2021,1,7.5989,7.9755,7.1277,0.1149
芝罘湾,2021,2,7.5012,7.9596,6.975,0.1528
芝罘湾,2021,3,7.4085,7.9559,6.9505,0.1768
芝罘湾,2021,4,7.3793,7.9349,6.9388,0.1797
芝罘湾,2021,5,7.4102,7.9965,6.9478,0.1771
芝罘湾,2021,6,7.5,7.9931,6.9173,0.1538
芝罘湾,2021,7,7.5989,7.9879,7.101,0.1148
芝罘湾,2021,8,7.6578,8.0,7.2683,0.101
芝罘湾,2021,9,7.6952,8.0,7.318,0.0965
芝罘湾,2021,10,7.7079,8.0,7.3402,0.0937
芝罘湾,2021,11,7.6948,8.0,7.3324,0.0958
芝罘湾,2021,12,7.6584,8.0,7.2647,0.1003
芝罘湾,2022,1,7.5807,8.0,7.1028,0.1219
芝罘湾,2022,2,7.4687,7.9575,6.9195,0.1643
芝罘湾,2022,3,7.3768,7.9064,6.9265,0.1795
芝罘湾,2022,4,7.3461,7.9244,6.8524,0.1783
芝罘湾,2022,5,7.3777,7.9491,6.8299,0.1792
芝罘湾,2022,6,7.4683,7.9414,6.9148,0.1641
芝罘湾,2022,7,7.5828,8.0,7.0269,0.1219
芝罘湾,2022,8,7.6462,7.9935,7.2552,0.1015
芝罘湾,2022,9,7.6839,8.0,7.2647,0.0999
芝罘湾,2022,10,7.6987,8.0,7.28,0.0969
芝罘湾,2022,11,7.6856,8.0,7.304,0.0975
芝罘湾,2022,12,7.647,8.0,7.233,0.1011
芝罘湾,2023,1,7.5601,7.9591,6.979,0.1305
芝罘湾,2023,2,7.4363,7.921,6.9045,0.1716
芝罘湾,2023,3,7.3454,7.8935,6.9041,0.1777
芝罘湾,2023,4,7.3185,7.8889,6.894,0.1743
芝罘湾,2023,5,7.3452,7.8885,6.8916,0.1784
芝罘湾,2023,6,7.4351,7.9718,6.9219,0.1739
芝罘湾,2023,7,7.56,7.9664,7.0203,0.1294
芝罘湾,2023,8,7.6376,8.0,7.2597,0.1029
芝罘湾,2023,9,7.6745,8.0,7.2985,0.0995
芝罘湾,2023,10,7.6899,8.0,7.3073,0.0978
芝罘湾,2023,11,7.6771,8.0,7.2925,0.0985
芝罘湾,2023,12,7.6376,8.0,7.1635,0.1045
芝罘湾,2024,1,7.5368,7.9807,7.0125,0.1374
芝罘湾,2024,2,7.403,7.9728,6.9298,0.1772
芝罘湾,2024,3,7.3195,7.8994,6.8909,0.1755
芝罘湾,2024,4,7.2938,7.8989,6.889,0.1687
芝罘湾,2024,5,7.3186,7.8859,6.8713,0.1745
芝罘湾,2024,6,7.4033,7.932,6.9275,0.178
芝罘湾,2024,7,7.5355,7.991,6.9394,0.1402
芝罘湾,2024,8,7.6251,8.0,7.1937,0.1055
芝罘湾,2024,9,7.6667,8.0,7.2682,0.1001
芝罘湾,2024,10,7.6818,8.0,7.2893,0.0977
芝罘湾,2024,11,7.6664,7.9963,7.2744,0.0999
芝罘湾,2024,12,7.6254,8.0,7.1688,0.1056
芝罘湾,2025,1,7.5088,8.0,6.9549,0.1501
芝罘湾,2025,2,7.3713,7.929,6.8756,0.1803
芝罘湾,2025,3,7.2939,7.8977,6.8264,0.1695
芝罘湾,2025,4,7.2727,7.9691,6.8833,0.1615
芝罘湾,2025,5,7.2932,7.8537,6.8169,0.1694
芝罘湾,2025,6,7.3726,7.9879,6.9174,0.1793
芝罘湾,2025,7,7.5103,7.9397,6.918,0.1508
芝罘湾,2025,8,7.6122,8.0,7.1215,0.1088
芝罘湾,2025,9,7.6587,8.0,7.2661,0.1007
芝罘湾,2025,10,7.6736,8.0,7.2761,0.0995
芝罘湾,2025,11,7.6574,8.0,7.291,0.1005
芝罘湾,2025,12,7.6115,8.0,7.1543,0.1096
