region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
芝罘湾,2020,1,7.5078,7.8549,7.1613,0.0913
芝罘湾,2020,2,7.5035,7.8365,7.1541,0.0919
芝罘湾,2020,3,7.4991,7.806,7.1308,0.0914
芝罘湾,2020,4,7.4992,7.8478,7.0711,0.0907
芝罘湾,2020,5,7.4981,7.8295,7.1382,0.0917
芝罘湾,2020,6,7.5038,7.8424,7.1586,0.0911
芝罘湾,2020,7,7.5085,7.8609,7.1698,0.0917
芝罘湾,2020,8,7.5141,7.8626,7.1279,0.0917
芝罘湾,2020,9,7.5166,7.8595,7.2026,0.0909
芝罘湾,2020,10,7.5178,7.8819,7.1336,0.0911
芝罘湾,2020,11,7.5172,7.8276,7.1692,0.0912
芝罘湾,2020,12,7.5134,7.8834,7.1518,0.091
芝罘湾,2021,1,7.5079,7.8851,7.1432,0.0905
芝罘湾,2021,2,7.5016,7.8413,7.1203,0.0917
芝罘湾,2021,3,7.4976,7.8303,7.1904,0.0914
芝罘湾,2021,4,7.496,7.8159,7.1224,0.0918
芝罘湾,2021,5,7.4987,7.8263,7.1669,0.0914
芝罘湾,2021,6,7.5019,7.8742,7.1503,0.0909
芝罘湾,2021,7,7.5071,7.9006,7.1294,0.0919
芝罘湾,2021,8,7.5126,7.9159,7.1459,0.0914
芝罘湾,2021,9,7.5165,7.8584,7.1588,0.0905
芝罘湾,2021,10,7.5168,7.8714,7.1879,0.0906
芝罘湾,2021,11,7.5155,7.8886,7.1789,0.0908
芝罘湾,2021,12,7.5124,7.9034,7.1357,0.0917
芝罘湾,2022,1,7.5054,7.8278,7.1544,0.0909
芝罘湾,2022,2,7.5003,7.9146,7.1494,0.0922
芝罘湾,2022,3,7.4961,7.8527,7.182,0.0909
芝罘湾,2022,4,7.4962,7.8632,7.1058,0.0911
芝罘湾,2022,5,7.4963,7.8199,7.1597,0.0908
芝罘湾,2022,6,7.5011,7.8334,7.1485,0.0921
芝罘湾,2022,7,7.5046,7.8764,7.1683,0.0923
芝罘湾,2022,8,7.5113,7.8324,7.1219,0.0915
芝罘湾,2022,9,7.5167,7.9062,7.1707,0.0905
芝罘湾,2022,10,7.5176,7.8863,7.1767,0.09
芝罘湾,2022,11,7.5153,7.8815,7.1569,0.091
芝罘湾,2022,12,7.5117,7.8394,7.1873,0.0917
芝罘湾,2023,1,7.5053,7.8591,7.2015,0.0911
芝罘湾,2023,2,7.4994,7.8362,7.1766,0.0917
芝罘湾,2023,3,7.4954,7.8359,7.1622,0.091
芝罘湾,2023,4,7.4937,7.8082,7.132,0.0914
芝罘湾,2023,5,7.4947,7.8459,7.1547,0.0915
芝罘湾,2023,6,7.4982,7.8763,7.0997,0.0916
芝罘湾,2023,7,7.5042,7.8543,7.1345,0.0914
芝罘湾,2023,8,7.5105,7.904,7.15,0.0905
芝罘湾,2023,9,7.5139,7.8748,7.1606,0.0919
芝罘湾,2023,10,7.5161,7.8823,7.1788,0.0917
芝罘湾,2023,11,7.5129,7.8372,7.1746,0.0917
芝罘湾,2023,12,7.5103,7.8673,7.1729,0.0913
芝罘湾,2024,1,7.5034,7.9311,7.149,0.091
芝罘湾,2024,2,7.4978,7.8124,7.1737,0.0918
芝罘湾,2024,3,7.4934,7.9324,7.1618,0.0911
芝罘湾,2024,4,7.4909,7.8687,7.1561,0.0919
芝罘湾,2024,5,7.4927,7.8446,7.0792,0.0916
芝罘湾,2024,6,7.4983,7.8564,7.1656,0.0919
芝罘湾,2024,7,7.5032,7.8449,7.1292,0.0915
芝罘湾,2024,8,7.5085,7.8684,7.1222,0.0913
芝罘湾,2024,9,7.5133,7.8602,7.0893,0.0908
芝罘湾,2024,10,7.5153,7.8689,7.1526,0.091
芝罘湾,2024,11,7.5136,7.8534,7.1545,0.0912
芝罘湾,2024,12,7.5095,7.892,7.1702,0.0915
芝罘湾,2025,1,7.502,7.8696,7.076,0.091
芝罘湾,2025,2,7.4964,7.8069,7.1864,0.0927
芝罘湾,2025,3,7.492,7.8567,7.1667,0.0912
芝罘湾,2025,4,7.4895,7.8388,7.1488,0.0918
芝罘湾,2025,5,7.4901,7.8337,7.1309,0.0918
芝罘湾,2025,6,7.4971,7.8704,7.1049,0.0912
芝罘湾,2025,7,7.5021,7.8313,7.1658,0.0911
芝罘湾,2025,8,7.5076,7.865,7.1547,0.0901
芝罘湾,2025,9,7.5125,7.9532,7.2011,0.0914
芝罘湾,2025,10,7.5148,7.8617,7.1745,0.0919
芝罘湾,2025,11,7.5125,7.8407,7.2056,0.0913
芝罘湾,2025,12,7.5073,7.8354,7.1292,0.0909
